ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-10-01,4584390.331647604,3069681.234254535,6088367.521762794,4584390.331647604,4584390.331647604,0.0,0.0,0.0,0.0,0.0,0.0,4584390.331647604
2023-11-01,4603598.516520976,3249489.371008619,6059592.957121006,4603598.516520976,4603598.516520976,0.0,0.0,0.0,0.0,0.0,0.0,4603598.516520976
2023-12-01,4622187.082354272,3109807.6058332096,6074551.50919446,4622187.082354272,4622187.082354272,0.0,0.0,0.0,0.0,0.0,0.0,4622187.082354272
2024-01-01,4641395.265769637,3141552.605807442,6016541.580032359,4641395.265769637,4641395.265769637,0.0,0.0,0.0,0.0,0.0,0.0,4641395.265769637
2024-02-01,4660603.448319265,3261113.992499149,6140748.251244212,4660603.448319265,4660603.448319265,0.0,0.0,0.0,0.0,0.0,0.0,4660603.448319265
2024-03-01,4678572.3943813825,3321556.2413494536,6088644.2777791545,4678572.3943813825,4678572.3943813825,0.0,0.0,0.0,0.0,0.0,0.0,4678572.3943813825
2024-04-01,4697780.57689522,3358587.0896043647,6107537.343117477,4697780.57689522,4697780.57689522,0.0,0.0,0.0,0.0,0.0,0.0,4697780.57689522
2024-05-01,4716369.140931711,3320784.6794011965,6222897.771563587,4716369.140931711,4716369.140931711,0.0,0.0,0.0,0.0,0.0,0.0,4716369.140931711
2024-06-01,4735577.324065719,3307789.0359095866,6210786.200445261,4735577.324065719,4735577.324065719,0.0,0.0,0.0,0.0,0.0,0.0,4735577.324065719
2024-07-01,4754165.889774225,3269722.3828496845,6137940.56910426,4754165.889774225,4754165.889774225,0.0,0.0,0.0,0.0,0.0,0.0,4754165.889774225
2024-08-01,4773374.075074676,3227627.171504302,6176093.011223303,4773374.075074676,4773374.075074676,0.0,0.0,0.0,0.0,0.0,0.0,4773374.075074676
2024-09-01,4792582.261221125,3381237.6230415204,6237067.526213545,4792582.261221125,4792582.261221125,0.0,0.0,0.0,0.0,0.0,0.0,4792582.261221125
2024-10-01,4811170.827867925,3401515.026189298,6226932.654866233,4811170.827867925,4811170.827867925,0.0,0.0,0.0,0.0,0.0,0.0,4811170.827867925
2024-11-01,4830379.0128171835,3478139.218833906,6244632.285405296,4830379.0128171835,4830379.0128171835,0.0,0.0,0.0,0.0,0.0,0.0,4830379.0128171835
2024-12-01,4848967.579138525,3391212.118179756,6219441.807791677,4848967.579138525,4848967.579138525,0.0,0.0,0.0,0.0,0.0,0.0,4848967.579138525
2025-01-01,4868176.452669041,3465160.469508518,6305902.227479263,4868176.452669041,4868176.452669041,0.0,0.0,0.0,0.0,0.0,0.0,4868176.452669041
2025-02-01,4887385.358389728,3418121.5782366237,6268185.690120405,4887385.358389728,4887385.358389728,0.0,0.0,0.0,0.0,0.0,0.0,4887385.358389728
2025-03-01,4904735.338347919,3416679.9113359516,6269310.660363371,4904735.338347919,4904735.338347919,0.0,0.0,0.0,0.0,0.0,0.0,4904735.338347919
2025-04-01,4923944.2447302025,3490416.8671693057,6388548.975434083,4923944.2447302025,4923944.2447302025,0.0,0.0,0.0,0.0,0.0,0.0,4923944.2447302025
2025-05-01,4942533.508971122,3538196.1260057725,6331182.427061323,4942533.508971122,4942533.508971122,0.0,0.0,0.0,0.0,0.0,0.0,4942533.508971122
2025-06-01,4961742.415353405,3488965.3612043126,6353789.137021672,4961742.415353405,4961742.415353405,0.0,0.0,0.0,0.0,0.0,0.0,4961742.415353405
2025-07-01,4980331.679594324,3543219.618048955,6374781.431293678,4980331.679594324,4980331.679594324,0.0,0.0,0.0,0.0,0.0,0.0,4980331.679594324
2025-07-31,4998920.943835243,3580955.7510894034,6510641.8622666905,4998920.906832191,4998920.976074481,0.0,0.0,0.0,0.0,0.0,0.0,4998920.943835243
2025-08-31,5018129.850217526,3685020.0715916534,6485784.495886955,5018129.737957277,5018129.95171362,0.0,0.0,0.0,0.0,0.0,0.0,5018129.850217526
2025-09-30,5036719.114458446,3663497.972901172,6438430.188648398,5036718.903746714,5036719.312927867,0.0,0.0,0.0,0.0,0.0,0.0,5036719.114458446
2025-10-31,5055928.020840729,3629300.084999697,6587521.41246941,5055927.686695374,5055928.333470057,0.0,0.0,0.0,0.0,0.0,0.0,5055928.020840729
2025-11-30,5074517.285081648,3721795.6364944493,6480781.2965622265,5074516.806944717,5074517.74766522,0.0,0.0,0.0,0.0,0.0,0.0,5074517.285081648
2025-12-31,5093726.1914639305,3711419.7588653103,6428507.688685903,5093725.554196302,5093726.805457582,0.0,0.0,0.0,0.0,0.0,0.0,5093726.1914639305
2026-01-31,5112935.097846214,3659562.0001545204,6504358.4718713565,5112934.272503793,5112935.8660736345,0.0,0.0,0.0,0.0,0.0,0.0,5112935.097846214
2026-02-28,5130285.077804405,3790117.093247564,6596030.92985763,5130284.070483067,5130286.006978214,0.0,0.0,0.0,0.0,0.0,0.0,5130285.077804405
2026-03-31,5149493.984186688,3726139.4048842518,6534754.145379178,5149492.793631613,5149495.1000730125,0.0,0.0,0.0,0.0,0.0,0.0,5149493.984186688
2026-04-30,5168083.248427608,3691592.56340477,6527285.48668856,5168081.868192591,5168084.602030773,0.0,0.0,0.0,0.0,0.0,0.0,5168083.248427608
2026-05-31,5187292.154809891,3836780.3612786224,6642926.737923448,5187290.487841525,5187293.718738584,0.0,0.0,0.0,0.0,0.0,0.0,5187292.154809891
