ds,yhat,yhat_lower,yhat_upper
2023-10-01,5380.925898123121,3838.1346244263736,6943.373437692214
2023-11-01,5416.711101915013,3952.241817328748,6868.7649577492975
2023-12-01,5451.341944360874,3834.5233130449396,7025.3344725447705
2024-01-01,5487.127148211285,3955.895854581102,7002.542411652364
2024-02-01,5522.912352097306,3883.7345143760767,7061.647438297893
2024-03-01,5556.388833159684,3984.7352224466244,7108.528488255987
2024-04-01,5592.17403711938,4044.7462600030267,7149.494773909355
2024-05-01,5626.80487969944,4109.479288871995,7290.871736883625
2024-06-01,5662.590083675935,4154.34295513015,7203.859871561156
2024-07-01,5697.220926170201,4071.807292603895,7174.638704905898
2024-08-01,5733.0061300617635,4196.104706517391,7209.946740990015
2024-09-01,5768.791333953973,4149.782057308963,7212.545755616034
2024-10-01,5803.422176420163,4290.364858992602,7341.007630931526
2024-11-01,5839.207380330583,4350.782319758193,7353.209335851666
2024-12-01,5873.838222849543,4255.093580378072,7407.993985690771
2025-01-01,5909.623426766437,4389.799225891426,7320.636943536702
2025-02-01,5945.4086307451125,4482.334276617101,7397.901237840715
2025-03-01,5977.73075042421,4372.832106414133,7517.887218216802
2025-04-01,6013.515954354639,4409.464451978052,7616.997066052579
2025-05-01,6048.146796867956,4550.248208307836,7633.078245810523
2025-06-01,6083.932000798385,4546.029132872016,7682.820033418892
2025-07-01,6118.562843311703,4666.764946523731,7763.9018808629135
2025-07-31,6153.193685825022,4514.242684715605,7816.081862818059
2025-08-31,6188.978889755451,4622.886664782819,7778.885341388735
2025-09-30,6223.609732268768,4769.636641574144,7872.280574988532
2025-10-31,6259.394936199197,4610.89159243325,7773.988767803785
2025-11-30,6294.025778712516,4730.03373710314,7811.390706594669
2025-12-31,6329.810982642944,4860.346515910144,7892.593089341915
2026-01-31,6365.596186573373,4925.961593060922,7867.92851891587
2026-02-28,6397.91830625247,4879.849113647393,7892.216727213651
2026-03-31,6433.703510182899,4985.481035535383,7991.492690081434
2026-04-30,6468.334352696217,4864.345776027626,8159.020193956145
2026-05-31,6504.119556626646,4926.619260146905,8017.1635245922525
2026-06-30,6538.7503991399635,5031.376335973191,8137.425773177036
2026-07-31,6574.535603070392,4858.922993971698,8085.519546876577
2026-08-31,6610.320807000821,5096.343385002899,8265.10271622097
2026-09-30,6644.95164951414,5103.880368734427,8279.848861111868
2026-10-31,6680.736853444568,5103.063305888769,8166.902325930395
2026-11-30,6715.367695957887,5255.975410842549,8209.347166836773
2026-12-31,6751.152899888315,5237.870451070293,8356.148791296097
2027-01-31,6786.938103818744,5198.173862951351,8365.283554700218
2027-02-28,6819.260223497841,5308.563750761466,8416.919969538061
2027-03-31,6855.04542742827,5434.765475554939,8255.360673466808
2027-04-30,6889.676269941588,5357.797300045973,8524.670134493954
2027-05-31,6925.4614738720165,5375.421359260731,8469.656343001016
2027-06-30,6960.092316385335,5469.269251541737,8424.864005600595
