ds,yhat,yhat_lower,yhat_upper
2023-10-01,5380.925898123121,3854.4996920697736,6993.506500091321
2023-11-01,5416.711101915013,3827.9115493650816,6915.477305603803
2023-12-01,5451.341944360874,3929.553577013615,6992.458225093592
2024-01-01,5487.127148211285,3904.386857383778,7048.308463094219
2024-02-01,5522.912352097306,3976.063741601242,7029.67357498612
2024-03-01,5556.388833159684,4055.9791701652307,7173.352200246104
2024-04-01,5592.17403711938,4128.1419641198045,7192.119542162751
2024-05-01,5626.80487969944,4151.381953337934,7186.237792493983
2024-06-01,5662.590083675935,4041.695937487389,7296.379445297226
2024-07-01,5697.220926170201,4131.587653432557,7241.737094302872
2024-08-01,5733.0061300617635,4258.264593245258,7284.449929330802
2024-09-01,5768.791333953973,4245.335947494438,7343.741257571877
2024-10-01,5803.422176420163,4150.995827021827,7340.257800361435
2024-11-01,5839.207380330583,4341.508013546809,7401.237719386831
2024-12-01,5873.838222849543,4330.962546469898,7397.826555958673
2025-01-01,5909.623426766437,4287.279349942964,7447.98935950839
2025-02-01,5945.4086307451125,4454.951894811916,7396.0883596453605
2025-03-01,5977.73075042421,4398.326206355985,7563.809941819907
2025-04-01,6013.515954354639,4530.751446643123,7674.405681253331
2025-05-01,6048.146796867956,4507.85628174772,7636.477418008976
2025-06-01,6083.932000798385,4527.235165027429,7739.98627074927
2025-07-01,6118.562843311703,4516.940453916007,7591.462498199506
2025-07-31,6153.193685825022,4646.150132428763,7689.26470361876
2025-08-31,6188.978889755451,4627.599964001986,7685.280261276373
2025-09-30,6223.609732268768,4703.660567515248,7687.143782869885
2025-10-31,6259.394936199197,4832.512205836959,7736.841505843646
2025-11-30,6294.025778712516,4694.235483606816,7905.046790825421
2025-12-31,6329.810982642944,4854.637728373825,7935.980059094503
2026-01-31,6365.596186573373,4761.549132635769,7956.471409096482
2026-02-28,6397.91830625247,4954.976814555911,7809.5487870092775
2026-03-31,6433.703510182899,4893.776848592416,7958.518222435072
2026-04-30,6468.334352696217,4880.910369592646,8008.611407322182
2026-05-31,6504.119556626646,4893.56691191954,7921.111067313707
2026-06-30,6538.7503991399635,4987.493797754757,8151.450114673874
2026-07-31,6574.535603070392,5082.059188379278,8057.40986630202
2026-08-31,6610.320807000821,5083.454305389422,8030.808740037968
2026-09-30,6644.95164951414,4940.587315696247,8185.423700812599
2026-10-31,6680.736853444568,5161.497493692759,8177.429121853422
2026-11-30,6715.367695957887,5200.661142713618,8234.361549070798
2026-12-31,6751.152899888315,5139.773773262309,8235.430055209283
2027-01-31,6786.938103818744,5218.153953741091,8386.854142270298
2027-02-28,6819.260223497841,5316.660748583149,8459.59274861443
2027-03-31,6855.04542742827,5251.905126381485,8364.914257470975
2027-04-30,6889.676269941588,5301.869054598684,8390.022962328649
2027-05-31,6925.4614738720165,5357.4097598873805,8484.19535994185
2027-06-30,6960.092316385335,5364.849158795253,8533.991163998016
