ds,yhat,yhat_lower,yhat_upper
2024-08-01,3854.0952817540174,3610.860993148795,4079.0151849174986
2024-09-01,3915.910007277785,3691.716755809687,4131.094332449129
2024-10-01,3975.730709893616,3749.878726324788,4196.9702440780065
2024-11-01,4037.5454362372575,3820.580487198737,4253.157610534791
2024-12-01,4097.366168988021,3879.857588298628,4332.215906610383
2025-01-01,4159.182494575802,3937.218156300421,4383.4777827644975
2025-02-01,4221.022940425792,4006.3824203569493,4454.4829188010135
2025-03-01,4276.885038658534,4059.3562839888987,4495.338208084513
2025-04-01,4338.732361630887,4113.454989942549,4558.168147614252
2025-05-01,4398.584609336889,4196.724617085626,4611.017989651441
2025-06-01,4460.431931966425,4237.416088532215,4675.909386147886
2025-07-01,4520.284179672428,4293.829545472186,4727.811104605411
2025-07-31,4580.13642737843,4357.199610638633,4791.70788885198
2025-08-31,4641.983750007966,4410.283130801654,4870.273747668845
2025-09-30,4701.835997713968,4485.28788845416,4922.648409708796
2025-10-31,4763.6833203435035,4544.351672335963,4993.593962051874
2025-11-30,4823.535568049507,4595.776469474225,5046.158613305595
2025-12-31,4885.382890679042,4663.85166327049,5106.276191013683
2026-01-31,4947.230213308578,4725.0878369805705,5163.175559887913
2026-02-28,5003.092311167514,4790.038857830437,5242.148619192936
2026-03-31,5064.939633797049,4848.269515874415,5268.219530236947
2026-04-30,5124.791881503052,4901.987743601636,5344.340659881478
2026-05-31,5186.639204132588,4973.258120066736,5420.184562843771
2026-06-30,5246.4914518385895,5032.1926732746715,5454.111615198271
2026-07-31,5308.338774468125,5093.717517873245,5529.523923969283
2026-08-31,5370.186097097661,5145.569928976914,5597.131021142004
2026-09-30,5430.038344803665,5206.836062094392,5650.675985156045
2026-10-31,5491.8856674332,5267.115598561003,5723.294511271918
2026-11-30,5551.7379151392015,5319.609119904921,5770.982539434216
2026-12-31,5613.585237768738,5376.215428330617,5834.641264312167
2027-01-31,5675.432560398273,5463.26324706034,5899.225063933107
2027-02-28,5731.294658257209,5516.027018062207,5947.039127667332
2027-03-31,5793.141980886745,5571.309378655613,6021.340384448729
2027-04-30,5852.994228592747,5607.282119136142,6087.053868481973
2027-05-31,5914.841551222283,5693.830866278612,6130.489255112728
2027-06-30,5974.693798928286,5740.391461400726,6178.896195901036
