ds,yhat,yhat_lower,yhat_upper
2024-08-01,3854.0952817540174,3628.4928305432572,4089.3412648060394
2024-09-01,3915.910007277785,3703.1216329254567,4127.607070562639
2024-10-01,3975.730709893616,3757.041595407404,4212.042627465517
2024-11-01,4037.5454362372575,3816.1375561172586,4263.194755131789
2024-12-01,4097.366168988021,3862.5886011268476,4318.949562342832
2025-01-01,4159.182494575802,3940.282246831287,4385.114398092382
2025-02-01,4221.022940425792,3997.862407808723,4456.130629997274
2025-03-01,4276.885038658534,4046.850761630636,4495.5632478464195
2025-04-01,4338.732361630887,4129.834493764665,4565.451426541665
2025-05-01,4398.584609336889,4188.743502252355,4615.3119847441985
2025-06-01,4460.431931966425,4250.525800015686,4689.250634539909
2025-07-01,4520.284179672428,4286.467898764338,4745.2746057826325
2025-07-31,4580.13642737843,4365.588627888981,4797.539985645783
2025-08-31,4641.983750007966,4436.7624896707375,4858.147691419794
2025-09-30,4701.835997713968,4474.585332842021,4933.383046817831
2025-10-31,4763.6833203435035,4542.108395179256,4985.130494043921
2025-11-30,4823.535568049507,4613.19656017068,5050.979884249156
2025-12-31,4885.382890679042,4660.37186033041,5109.4293549368385
2026-01-31,4947.230213308578,4723.486538695531,5176.165216616178
2026-02-28,5003.092311167514,4779.347597595133,5230.824992879962
2026-03-31,5064.939633797049,4836.193720259322,5273.470811924575
2026-04-30,5124.791881503052,4910.233273780025,5344.713048670144
2026-05-31,5186.639204132588,4962.314075769408,5395.191108234301
2026-06-30,5246.4914518385895,5037.305889020179,5471.583614183862
2026-07-31,5308.338774468125,5077.929067212493,5515.5032015843035
2026-08-31,5370.186097097661,5147.5367034866,5598.705290716686
2026-09-30,5430.038344803665,5216.515390198027,5642.705140464292
2026-10-31,5491.8856674332,5260.811914141478,5716.034338746723
2026-11-30,5551.7379151392015,5326.306501151047,5788.334110194986
2026-12-31,5613.585237768738,5387.635309768058,5840.222899718641
2027-01-31,5675.432560398273,5448.167786639065,5904.43151568448
2027-02-28,5731.294658257209,5489.68736749061,5944.01254258687
2027-03-31,5793.141980886745,5576.219970168725,6024.8685900499495
2027-04-30,5852.994228592747,5632.661726055894,6084.735688518986
2027-05-31,5914.841551222283,5690.65294385446,6123.370301590796
2027-06-30,5974.693798928286,5754.064993325712,6203.109649061536
