ds,yhat,yhat_lower,yhat_upper
2024-08-01,3854.0952817540174,3639.240407021586,4069.636752377231
2024-09-01,3915.910007277785,3696.704574936997,4142.986752639241
2024-10-01,3975.730709893616,3765.8476172868204,4186.228483411687
2024-11-01,4037.5454362372575,3810.3192973075197,4238.573535586512
2024-12-01,4097.366168988021,3877.060269408768,4309.487766720225
2025-01-01,4159.182494575802,3930.538866754264,4390.7837680474195
2025-02-01,4221.022940425792,3981.8532485265955,4450.9259161864275
2025-03-01,4276.885038658534,4057.6557419149226,4513.863515126916
2025-04-01,4338.732361630887,4132.36169356609,4549.938078604041
2025-05-01,4398.584609336889,4180.769561061509,4639.909145910173
2025-06-01,4460.431931966425,4258.509672374751,4687.8799733331825
2025-07-01,4520.284179672428,4294.119403188464,4736.445474528576
2025-07-31,4580.13642737843,4359.767137453189,4802.003251243194
2025-08-31,4641.983750007966,4416.666997142319,4877.016466528024
2025-09-30,4701.835997713968,4465.866792174605,4910.119396946111
2025-10-31,4763.6833203435035,4530.817943916184,4978.796504148343
2025-11-30,4823.535568049507,4609.5445836302,5039.218872262995
2025-12-31,4885.382890679042,4665.059813473883,5117.858428710567
2026-01-31,4947.230213308578,4713.734093373114,5179.113467104653
2026-02-28,5003.092311167514,4781.712257793371,5229.404706506652
2026-03-31,5064.939633797049,4834.890628314127,5281.762154740605
2026-04-30,5124.791881503052,4900.4932252592935,5328.1448701798745
2026-05-31,5186.639204132588,4967.4455594079045,5403.650397196373
2026-06-30,5246.4914518385895,5019.020255545693,5465.257169165491
2026-07-31,5308.338774468125,5072.931888924683,5515.397940606419
2026-08-31,5370.186097097661,5158.687359072162,5585.5657803027425
2026-09-30,5430.038344803665,5209.988854817646,5647.126853350222
2026-10-31,5491.8856674332,5275.808987147394,5702.017287027204
2026-11-30,5551.7379151392015,5341.710789581006,5763.202452244112
2026-12-31,5613.585237768738,5392.693495604686,5837.655324204404
2027-01-31,5675.432560398273,5455.1496523023725,5902.183593302175
2027-02-28,5731.294658257209,5509.476342708389,5947.318638060816
2027-03-31,5793.141980886745,5584.404998190674,6021.019479085819
2027-04-30,5852.994228592747,5612.204028272589,6059.1291707856835
2027-05-31,5914.841551222283,5696.135401825389,6141.2549451840505
2027-06-30,5974.693798928286,5746.33050183594,6186.681687820362
