ds,yhat,yhat_lower,yhat_upper
2024-08-01,3854.0952817540174,3632.0239074209926,4076.5163610121176
2024-09-01,3915.910007277785,3693.670964291778,4135.0382284833095
2024-10-01,3975.730709893616,3753.845548159592,4209.847298856592
2024-11-01,4037.5454362372575,3808.0704019332115,4252.409040771485
2024-12-01,4097.366168988021,3868.53060715126,4307.837082510555
2025-01-01,4159.182494575802,3934.5904297269212,4366.800495132703
2025-02-01,4221.022940425792,3993.301587458082,4446.741279082403
2025-03-01,4276.885038658534,4056.0019514738083,4502.404447685053
2025-04-01,4338.732361630887,4109.408615504176,4551.117302285872
2025-05-01,4398.584609336889,4175.507072699673,4611.248810672855
2025-06-01,4460.431931966425,4255.938781316329,4679.913332256893
2025-07-01,4520.284179672428,4298.98791813298,4748.577329621472
2025-07-31,4580.13642737843,4342.807668213349,4827.601022773783
2025-08-31,4641.983750007966,4427.214341375162,4883.418730085621
2025-09-30,4701.835997713968,4491.781849953289,4913.83147794277
2025-10-31,4763.6833203435035,4515.3331088264595,4998.141128783688
2025-11-30,4823.535568049507,4600.890587768124,5023.077746345663
2025-12-31,4885.382890679042,4657.343332577437,5099.701345253631
2026-01-31,4947.230213308578,4726.710111992972,5173.528232177302
2026-02-28,5003.092311167514,4777.363664082173,5220.921878906214
2026-03-31,5064.939633797049,4837.901897298021,5288.3132504986825
2026-04-30,5124.791881503052,4894.540467999977,5342.582117983675
2026-05-31,5186.639204132588,4966.655721183215,5408.827017866856
2026-06-30,5246.4914518385895,5022.35807860686,5456.976236225049
2026-07-31,5308.338774468125,5086.793488829962,5529.40253634358
2026-08-31,5370.186097097661,5145.333299506399,5592.273426467997
2026-09-30,5430.038344803665,5211.664981222745,5653.623279117711
2026-10-31,5491.8856674332,5278.212212559713,5708.888497046441
2026-11-30,5551.7379151392015,5323.0218382872345,5766.394534139322
2026-12-31,5613.585237768738,5391.264237930578,5837.873882912633
2027-01-31,5675.432560398273,5461.19333897323,5894.275148632299
2027-02-28,5731.294658257209,5494.888455779756,5935.174644178464
2027-03-31,5793.141980886745,5541.947446664184,6026.189262334897
2027-04-30,5852.994228592747,5630.279422944242,6067.495920174747
2027-05-31,5914.841551222283,5695.180160334134,6165.525890808769
2027-06-30,5974.693798928286,5756.561645680806,6204.555061879972
