ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,2880.998088481732,2411.9628892074925,3361.547901613385,2880.998088481732,2880.998088481732,0.0,0.0,0.0,0.0,0.0,0.0,2880.998088481732
2024-09-01,2884.907088789675,2428.8467194815785,3366.468428381141,2884.907088789675,2884.907088789675,0.0,0.0,0.0,0.0,0.0,0.0,2884.907088789675
2024-10-01,2888.6899923243313,2416.880717874615,3363.96791953478,2888.6899923243313,2888.6899923243313,0.0,0.0,0.0,0.0,0.0,0.0,2888.6899923243313
2024-11-01,2892.598992608573,2436.0126823467085,3383.69287073042,2892.598992608573,2892.598992608573,0.0,0.0,0.0,0.0,0.0,0.0,2892.598992608573
2024-12-01,2896.3818961707066,2423.323245080684,3402.6877311225894,2896.3818961707066,2896.3818961707066,0.0,0.0,0.0,0.0,0.0,0.0,2896.3818961707066
2025-01-01,2900.2908965119905,2387.132277807594,3394.29384346516,2900.2908965119905,2900.2908965119905,0.0,0.0,0.0,0.0,0.0,0.0,2900.2908965119905
2025-02-01,2904.19989681472,2401.7150292089405,3384.01833001048,2904.19989681472,2904.19989681472,0.0,0.0,0.0,0.0,0.0,0.0,2904.19989681472
2025-03-01,2907.7306071385365,2469.090050600575,3375.0237386390804,2907.7306071385365,2907.7306071385365,0.0,0.0,0.0,0.0,0.0,0.0,2907.7306071385365
2025-04-01,2911.639607887401,2428.6600999703774,3335.268202057563,2911.639607887401,2911.639607887401,0.0,0.0,0.0,0.0,0.0,0.0,2911.639607887401
2025-05-01,2915.4225118436466,2437.654393807367,3389.919664840807,2915.4225118436466,2915.4225118436466,0.0,0.0,0.0,0.0,0.0,0.0,2915.4225118436466
2025-06-01,2919.3315125984336,2469.6249341023386,3426.653032864702,2919.3315125984336,2919.3315125984336,0.0,0.0,0.0,0.0,0.0,0.0,2919.3315125984336
2025-07-01,2923.11441655468,2451.7428806641597,3425.3046590522845,2923.11441655468,2923.11441655468,0.0,0.0,0.0,0.0,0.0,0.0,2923.11441655468
2025-07-31,2926.897320510925,2419.0513244188714,3399.020235451643,2926.897318322582,2926.8973229060757,0.0,0.0,0.0,0.0,0.0,0.0,2926.897320510925
2025-08-31,2930.806321265712,2449.052272349269,3417.865090071242,2930.806314281314,2930.806329163687,0.0,0.0,0.0,0.0,0.0,0.0,2930.806321265712
2025-09-30,2934.589225221958,2445.329831764056,3412.4172847241266,2934.589212097824,2934.5892409456014,0.0,0.0,0.0,0.0,0.0,0.0,2934.589225221958
2025-10-31,2938.4982259767453,2471.126401086491,3413.825315962275,2938.498205615015,2938.498250576071,0.0,0.0,0.0,0.0,0.0,0.0,2938.4982259767453
2025-11-30,2942.281129932991,2454.601404068686,3416.1798072285997,2942.2810997863203,2942.281165794056,0.0,0.0,0.0,0.0,0.0,0.0,2942.281129932991
2025-12-31,2946.1901306877785,2484.6993168067183,3431.3125370151224,2946.19009081474,2946.190177930207,0.0,0.0,0.0,0.0,0.0,0.0,2946.1901306877785
2026-01-31,2950.0991314425655,2457.6728206063285,3427.9928238421267,2950.0990812399273,2950.099188469185,0.0,0.0,0.0,0.0,0.0,0.0,2950.0991314425655
2026-02-28,2953.629841801728,2443.097025219806,3454.506139991831,2953.62978007887,2953.6299082525347,0.0,0.0,0.0,0.0,0.0,0.0,2953.629841801728
2026-03-31,2957.5388425565156,2472.1702829887786,3435.611935401688,2957.5387663862566,2957.5389240412824,0.0,0.0,0.0,0.0,0.0,0.0,2957.5388425565156
2026-04-30,2961.3217465127614,2477.872244633173,3436.0018629885194,2961.321659920522,2961.321839855031,0.0,0.0,0.0,0.0,0.0,0.0,2961.3217465127614
2026-05-31,2965.2307472675484,2459.042536622837,3448.11888545997,2965.230647474002,2965.2308559548433,0.0,0.0,0.0,0.0,0.0,0.0,2965.2307472675484
2026-06-30,2969.013651223794,2514.48266081322,3436.9113707784722,2969.013535047763,2969.0137793037206,0.0,0.0,0.0,0.0,0.0,0.0,2969.013651223794
2026-07-31,2972.9226519785816,2485.5195883224314,3471.39970529097,2972.9225153002035,2972.9228014063697,0.0,0.0,0.0,0.0,0.0,0.0,2972.9226519785816
