ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,3854.0952817540174,3627.9435847610325,4072.339684054199,3854.0952817540174,3854.0952817540174,0.0,0.0,0.0,0.0,0.0,0.0,3854.0952817540174
2024-09-01,3915.910007277785,3708.435837454009,4163.46667053032,3915.910007277785,3915.910007277785,0.0,0.0,0.0,0.0,0.0,0.0,3915.910007277785
2024-10-01,3975.730709893616,3751.7938043058352,4178.997312942416,3975.730709893616,3975.730709893616,0.0,0.0,0.0,0.0,0.0,0.0,3975.730709893616
2024-11-01,4037.5454362372575,3819.045446178362,4257.260494099919,4037.5454362372575,4037.5454362372575,0.0,0.0,0.0,0.0,0.0,0.0,4037.5454362372575
2024-12-01,4097.366168988021,3880.460361232176,4323.762784206828,4097.366168988021,4097.366168988021,0.0,0.0,0.0,0.0,0.0,0.0,4097.366168988021
2025-01-01,4159.182494575802,3944.9055374017853,4375.082572803315,4159.182494575802,4159.182494575802,0.0,0.0,0.0,0.0,0.0,0.0,4159.182494575802
2025-02-01,4221.022940425792,4000.0229853045594,4438.971063827961,4221.022940425792,4221.022940425792,0.0,0.0,0.0,0.0,0.0,0.0,4221.022940425792
2025-03-01,4276.885038658534,4070.175923634735,4503.7643508454,4276.885038658534,4276.885038658534,0.0,0.0,0.0,0.0,0.0,0.0,4276.885038658534
2025-04-01,4338.732361630887,4135.5388636018115,4563.228031161972,4338.732361630887,4338.732361630887,0.0,0.0,0.0,0.0,0.0,0.0,4338.732361630887
2025-05-01,4398.584609336889,4184.900977739019,4626.376386831342,4398.584609336889,4398.584609336889,0.0,0.0,0.0,0.0,0.0,0.0,4398.584609336889
2025-06-01,4460.431931966425,4238.720838915047,4683.874951534856,4460.431931966425,4460.431931966425,0.0,0.0,0.0,0.0,0.0,0.0,4460.431931966425
2025-07-01,4520.284179672428,4312.817330291065,4740.9613706062355,4520.284179672428,4520.284179672428,0.0,0.0,0.0,0.0,0.0,0.0,4520.284179672428
2025-07-31,4580.13642737843,4362.038510601207,4805.706224260321,4580.134051563925,4580.138896166953,0.0,0.0,0.0,0.0,0.0,0.0,4580.13642737843
2025-08-31,4641.983750007966,4428.166505689142,4863.926616539982,4641.976217619782,4641.991245951483,0.0,0.0,0.0,0.0,0.0,0.0,4641.983750007966
2025-09-30,4701.835997713968,4472.511569354335,4922.999237026269,4701.82130315272,4701.850970850493,0.0,0.0,0.0,0.0,0.0,0.0,4701.835997713968
