ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,4.259434163715855e-05,1.237954061666904e-05,7.241686113435079e-05,4.259434163715855e-05,4.259434163715855e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.259434163715855e-05
2024-09-01,3.750941676643562e-05,7.610224970521251e-06,6.770343826097676e-05,3.750941676643562e-05,3.750941676643562e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.750941676643562e-05
2024-10-01,3.25885217376303e-05,3.39842214118919e-06,6.153138553743653e-05,3.25885217376303e-05,3.25885217376303e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.25885217376303e-05
2024-11-01,2.7503596879451694e-05,9.375256545187172e-07,5.7613890786959595e-05,2.7503596879451694e-05,2.7503596879451694e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.7503596879451694e-05
2024-12-01,2.2582701867730112e-05,-7.5543164190877266e-06,4.9265110472582474e-05,2.2582701867730112e-05,2.2582701867730112e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.2582701867730112e-05
2025-01-01,1.7497777022305516e-05,-1.2545972100873162e-05,4.396570077767808e-05,1.7497777022305516e-05,1.7497777022305516e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7497777022305516e-05
2025-02-01,1.2412852167217377e-05,-1.6974111040322865e-05,4.1985549172113063e-05,1.2412852167217377e-05,1.2412852167217377e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.2412852167217377e-05
2025-03-01,7.820016826287752e-06,-1.8750546030041e-05,3.4859372451137585e-05,7.820016826287752e-06,7.820016826287752e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.820016826287752e-06
2025-04-01,2.7350919971831924e-06,-2.8412603095001048e-05,3.1822726827386954e-05,2.7350919971831924e-06,2.7350919971831924e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.7350919971831924e-06
2025-05-01,-2.1858029959560277e-06,-3.206795484306415e-05,2.7690154226185968e-05,-2.1858029959560277e-06,-2.1858029959560277e-06,0.0,0.0,0.0,0.0,0.0,0.0,-2.1858029959560277e-06
2025-06-01,-7.270727822199887e-06,-3.585762792496486e-05,2.4720536790706456e-05,-7.270727822199887e-06,-7.270727822199887e-06,0.0,0.0,0.0,0.0,0.0,0.0,-7.270727822199887e-06
2025-07-01,-1.2191622815339113e-05,-4.1689994840636404e-05,1.617938451132127e-05,-1.2191622815339113e-05,-1.2191622815339113e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.2191622815339113e-05
2025-07-31,-1.7112517808478327e-05,-4.6527538168141355e-05,1.2356260523890843e-05,-1.7112517875447886e-05,-1.7112517742350855e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.7112517808478327e-05
2025-08-31,-2.2197442634722205e-05,-5.135169837374822e-05,8.910511012103193e-06,-2.219744285503943e-05,-2.2197442420090598e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.2197442634722205e-05
2025-09-30,-2.711833762786142e-05,-5.605375274081671e-05,5.275011117340635e-06,-2.71183380540003e-05,-2.7118337211642504e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.711833762786142e-05
2025-10-31,-3.2203262454105286e-05,-6.003224071837273e-05,-3.9617517858493625e-07,-3.220326310723523e-05,-3.220326180681906e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.2203262454105286e-05
2025-11-30,-3.712415744724451e-05,-6.8447756270989e-05,-7.652760996509132e-06,-3.7124158381491325e-05,-3.712415654542114e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.712415744724451e-05
