ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6942.459301369235,8034.363973500418,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7044.964327900641,8161.492546694661,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7114.467344674921,8265.930679128041,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7216.770612681169,8304.510533251141,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7301.030052293033,8432.8740968914,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7381.0000148132085,8521.459658144637,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7513.780935505194,8588.636137533773,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7579.280671462192,8689.671633158867,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7692.482265393021,8801.580375112208,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7731.8355828619,8857.186717303757,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7834.457033160144,8964.270968468725,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7948.95376741506,9076.342728089436,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8049.441237960308,9141.377020118694,8585.275414138147,8585.275446779597,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8058.349537128638,9262.000453629438,8677.684268155164,8677.684372633592,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8225.675742907177,9319.424397424751,8767.112169088703,8767.112385214217,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8300.890319740562,9438.795571900466,8859.52100409408,8859.521339693658,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8358.079368694038,9494.931159290403,8948.948895638952,8948.949361657087,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8495.855519642071,9611.110982073471,9041.357714393685,9041.358341044703,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8556.015969560278,9691.208610220252,9133.766515287974,9133.767304997971,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8642.70845301971,9769.820208470348,9217.232520364552,9217.233487905065,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8710.731130127137,9899.597820919702,9309.641320401011,9309.642477796002,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8836.3431002048,9944.211665070077,9399.069164845638,9399.070508602483,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8964.393473136683,10066.748122189614,9491.477951167848,9491.479519141429,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,9034.507764468748,10143.98395768085,9580.905797891191,9580.907588812015,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9116.710955352208,10284.231773592317,9673.314570251572,9673.316593037884,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9231.81998638562,10320.815990281026,9765.723337192892,9765.725575247587,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9319.880809172786,10416.681907061942,9855.151174256473,9855.153647594694,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9383.482674395673,10528.746762295048,9947.559934972365,9947.562664203107,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9493.239492032815,10649.823079536394,10036.987746437024,10036.990780271379,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9531.0478129327,10692.479378336175,10129.396497556603,10129.399831783181,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9613.302651703007,10799.693481345475,10221.80525145606,10221.808824082478,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9758.200021851646,10869.6801780008,10305.271183120494,10305.275067543293,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9834.747675631632,10922.487189137784,10397.679936985003,10397.684140929747,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9937.408073051709,11044.175326908526,10487.107751090689,10487.112230034294,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,10032.26024632589,11179.740439950041,10579.51646892775,10579.521312194027,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10088.922721702136,11232.251548699887,10668.944261676595,10668.949454283627,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
