ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6957.78603529418,8083.641389442568
2024-09-01,7592.625779355624,7012.676886419247,8141.113767929516
2024-10-01,7682.053603032967,7143.324288615536,8225.698610625443
2024-11-01,7774.462355511511,7219.606222892379,8300.679029790612
2024-12-01,7863.890180232032,7312.580909535903,8418.869586024928
2025-01-01,7956.2989335723805,7382.9059148278975,8516.797018389268
2025-02-01,8048.707686247238,7477.003496185449,8618.295588227154
2025-03-01,8132.173779157734,7569.002849600095,8700.306626131409
2025-04-01,8224.582668072047,7645.665095289368,8780.619988558557
2025-05-01,8314.010625953375,7717.253956654724,8875.830495251417
2025-06-01,8406.41951576408,7786.384381767802,8997.83239571719
2025-07-01,8495.847473645408,7968.466396837211,9099.953338939027
2025-07-31,8585.275431526738,8026.318360564993,9160.633052989211
2025-08-31,8677.684321337443,8100.545900254511,9199.423822288367
2025-09-30,8767.11227921877,8190.0534878349745,9257.455060372386
2025-10-31,8859.521169029476,8302.73069117505,9362.640911020007
2025-11-30,8948.949126910804,8385.73391186668,9473.450004133183
2025-12-31,9041.35801672151,8473.537811362465,9636.325776271531
2026-01-31,9133.766906532215,8577.607588409563,9682.209123085137
2026-02-28,9217.233000554788,8655.766991639985,9795.222139976468
2026-03-31,9309.641890365492,8796.89296204418,9900.557263435909
2026-04-30,9399.069848246821,8840.095025008079,9905.900520160048
2026-05-31,9491.478738057525,8920.30934910049,10056.243989179045
2026-06-30,9580.906695938855,9001.873259350468,10164.297579325874
2026-07-31,9673.315585749559,9107.739878496486,10242.869839838799
2026-08-31,9765.724475560266,9251.93526705753,10335.786802491682
2026-09-30,9855.152433441592,9265.964687787397,10457.546395375883
2026-10-31,9947.5613232523,9391.662026181113,10466.449385369548
2026-11-30,10036.989281133625,9444.844001041482,10551.197988928365
2026-12-31,10129.398170944332,9570.972376754027,10704.041690794753
2027-01-31,10221.807060755036,9664.573536487103,10791.916432252181
2027-02-28,10305.27315477761,9756.291664701179,10933.264691155504
2027-03-31,10397.682044588315,9859.36638801277,10993.865267120536
2027-04-30,10487.110002469642,9906.8711654592,11075.491393533424
2027-05-31,10579.518892280348,9999.476282260415,11152.075721665235
2027-06-30,10668.946850161676,10109.750063203053,11244.316743738633
