ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6917.395049067055,8053.517399208378,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7019.81587259244,8170.375109832179,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7131.773023627966,8260.3323953358,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7180.426281072436,8351.01832772548,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7319.3191713763,8427.522896392535,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7350.34261735388,8518.246992526538,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7490.54938109151,8626.348123571868,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7574.645742711856,8718.928916656623,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7670.020391983785,8784.386863220721,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7767.340701976788,8852.698748371657,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7863.490951184589,8950.841940704297,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7927.315231541527,9076.223432441218,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8006.256319601587,9131.883334464255,8585.275414990032,8585.275447180242,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8129.592557864715,9239.424072933827,8677.684269742584,8677.684371099704,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8204.509200191815,9373.477566931357,8767.112181681667,8767.112371333069,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8303.201126797028,9431.821120086783,8859.521009807122,8859.5213124315,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8386.971907950427,9474.911762865715,8948.948896289125,8948.94933132574,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8483.348425648383,9616.566288275266,9041.357710624165,9041.35830292212,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8579.597034226887,9681.741976442738,9133.76652548873,9133.767271362247,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8668.349194640638,9722.242277663967,9217.232514437503,9217.233455309239,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8768.26649276887,9900.181350970111,9309.641309573548,9309.64243722215,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8841.433899800257,9994.673024351496,9399.06915818074,9399.070516477197,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8896.763605133416,10048.518604017812,9491.47793612308,9491.47951683125,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,9031.78308348195,10152.331640385146,9580.905782456255,9580.907584711154,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9077.07605964466,10198.942871183846,9673.314540099345,9673.316589898126,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9203.845250655526,10357.560154710829,9765.723326149919,9765.72558075749,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9268.438077462748,10418.152688227641,9855.151160949139,9855.153681968515,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9350.167171275321,10544.861064370238,9947.559914145919,9947.562720729196,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9450.747216906811,10579.863054451516,10036.98774885414,10036.990817629903,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9566.822655878335,10701.23652853962,10129.396532275352,10129.399842614588,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9624.887226088314,10781.660308360379,10221.805243408411,10221.808844526187,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9780.134262924072,10877.240469635091,10305.271168726505,10305.275104834649,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9832.023112839262,10957.811448799821,10397.679913591084,10397.684127658817,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9942.202265518248,11065.881188437417,10487.107751637217,10487.112230177729,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,10034.735892618548,11156.840730530568,10579.516499737983,10579.521318584108,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10110.104515421512,11245.240700160779,10668.9443093438,10668.949441729477,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
