ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6960.023415711782,8058.239684575662,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7013.279000735696,8185.387159872101,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7100.717777804512,8249.75199368239,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7230.004808555944,8330.116101102936,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7293.453049112571,8437.658057633833,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7356.310387544633,8536.357485432027,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7507.5330547621315,8600.301342516514,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7519.466522159602,8639.570717928673,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7670.614700873578,8788.488813301365,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7752.447322517693,8892.650782909213,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7858.267739057959,8959.972980568395,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7958.443588817654,9086.846527213005,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8008.061388302241,9142.994916314708,8585.275415648595,8585.275447763159,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8099.89202687895,9241.16354872239,8677.684270411537,8677.684371659028,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8228.804516333254,9320.885609737703,8767.112182215315,8767.11238509582,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8271.390782303457,9420.095595873323,8859.521004657327,8859.521332446266,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8382.312191382509,9525.219155052955,8948.948891317203,8948.949356724268,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8484.225752001405,9622.264962475327,9041.35770571187,9041.358327752825,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8582.238709011464,9687.24560540911,9133.766525180901,9133.767307079073,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8649.583706376601,9764.23424103834,9217.232532659233,9217.233499340475,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8762.430726731154,9848.37444721255,9309.641335811213,9309.642495984861,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8810.959310104723,10013.874342484003,9399.069206714114,9399.07054912139,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8937.68049484882,10048.013631138247,9491.477994610243,9491.479549463491,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,9007.30349078407,10154.824493426586,9580.905849311346,9580.907620068965,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9084.818741079325,10277.674148518447,9673.314618881359,9673.316609123936,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9181.628571021414,10354.401593633133,9765.723414560887,9765.725588254594,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9274.375100153817,10419.717145816448,9855.151245509402,9855.15365289624,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9386.898674215834,10550.607408395015,9947.560021162752,9947.562666943026,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9467.899067377351,10601.31045209873,10036.987876926376,10036.990764163975,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9597.447032616663,10691.283053106325,10129.396649645423,10129.39980474595,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9613.532192312254,10772.702422877697,10221.805399737597,10221.808839777297,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9739.91610989522,10929.35031670014,10305.27134305773,10305.275030118277,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9840.824005863195,10892.286066636501,10397.680058634982,10397.68405299292,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9907.155073936347,11005.252843516431,10487.107878804574,10487.112138532824,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,10070.238400185637,11156.317322743762,10579.516650613967,10579.521147848387,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10099.10192819572,11211.165320814476,10668.944464612248,10668.94925802742,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
