ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6943.051688918927,8057.040575966756,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,6971.856071599019,8167.513218160047,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7096.495943377294,8261.327965348348,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7217.73827070445,8367.98807149998,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7289.828948468685,8405.739310656787,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7363.761050346097,8496.747300422967,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7485.361968028163,8598.319398191208,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7558.52733346418,8677.830568465597,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7694.604632444337,8777.925474617863,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7821.030542131303,8879.201043837504,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7858.094097296999,8985.725322420169,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7934.007421300782,9068.505789059102,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8009.694748419988,9176.237666522773,8585.275414472768,8585.275446550319,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8121.682796269843,9179.823016680668,8677.684268517361,8677.684367673013,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8196.374645028225,9309.16480170619,8767.112172436473,8767.112376459918,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8283.795169485558,9427.364240480953,8859.521000538009,8859.521326028425,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8336.564724403292,9508.527047572368,8948.948889509404,8948.949353436452,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8464.509175804034,9593.51683128106,9041.357716242386,9041.358321423184,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8571.48805783796,9692.044430765101,9133.766514899442,9133.767290280257,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8616.509735507505,9791.082321527861,9217.232507662302,9217.233468429738,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8735.770900608564,9869.432295695406,9309.641298861,9309.6424525885,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8874.1132749276,9928.243157723202,9399.069158869002,9399.07049503056,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8954.905728897103,10089.606464544344,9491.477957581668,9491.479496112426,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,8998.325462829436,10126.628888021778,9580.90580026357,9580.90756298066,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9109.678190831353,10249.979406662549,9673.314569805683,9673.316552710252,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9243.067342106793,10343.584962139832,9765.72332068566,9765.725575643008,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9277.077547390138,10442.24406826149,9855.151137475114,9855.153671498263,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9378.111098186886,10527.209427138394,9947.559899033293,9947.562696688681,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9454.477826603927,10609.682130827247,10036.987704342413,10036.99078591552,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9601.494934843498,10693.020753411492,10129.39648196346,10129.399826708288,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9677.719340613072,10811.650822369656,10221.805206307252,10221.808852278653,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9768.15815487262,10888.052792659246,10305.271127652513,10305.275091798794,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
