ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6894.195017739444,8057.4502816093955,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7069.467316031321,8185.951354237703,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7094.5071274721195,8253.638631502143,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7206.8258560453605,8348.659848869136,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7334.212505477279,8460.382939279316,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7375.874957865446,8489.565873748254,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7475.639805536346,8624.129262504868,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7536.08478725405,8664.900749965036,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7624.224943314174,8761.13692770435,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7726.373138854851,8890.341285510915,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7859.106525604869,8981.41865019602,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7966.237007999335,9050.722627466941,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8017.020652742513,9160.751213598498,8585.275417065272,8585.275449017878,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8107.260604872152,9248.823239629708,8677.68427183749,8677.68437504871,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8198.24696932888,9366.445567256313,8767.112181799974,8767.112386235454,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8254.169909933687,9397.045553870297,8859.521010427625,8859.52133488861,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8322.765394447608,9503.578444393188,8948.948896128346,8948.949365236325,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
