ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6936.486631463606,8053.920957504819,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7007.465939095617,8134.9341527111455,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7129.717274864663,8220.947939640864,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7239.1042728702705,8329.57758486133,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7287.033710552499,8434.721893351705,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7399.494505581436,8489.364795554558,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7445.197901624591,8643.065177439785,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7561.333058112794,8703.270749959936,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7664.990000494707,8825.107494934955,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7740.588328435079,8840.174402302648,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7824.812377529052,8975.712022901096,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7924.618199726274,9040.24356820606,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,7966.5556166291,9147.93430626704,8585.27541748507,8585.275448530436,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8123.894109934313,9248.241523362045,8677.684275275888,8677.684375661991,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8162.136086711416,9301.48139195345,8767.112188085379,8767.112380962724,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8270.414266657674,9416.847273602103,8859.521025275004,8859.521333323972,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8396.374192350106,9518.286559995158,8948.948914504042,8948.94935565104,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8505.099796813387,9634.956506239681,9041.357739032677,9041.358320196357,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8581.143222184068,9711.104273076291,9133.766542956055,9133.767297611099,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8626.605801455013,9755.823111361009,9217.232550547038,9217.233487806354,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8706.385421188706,9795.182605993159,9309.641343774863,9309.642480952376,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8867.041667358877,9955.847014567988,9399.069179428194,9399.070541702722,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8890.639577624745,10036.376034058267,9491.477973590389,9491.479534876584,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,8994.349783295653,10115.28291911303,9580.905797914887,9580.90763318181,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9115.496264933292,10218.987338627037,9673.31457791835,9673.316645038842,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9170.452980364409,10351.829333857564,9765.72336710042,9765.72566098973,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9274.69148862112,10431.565784212533,9855.151198919953,9855.153775003295,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9398.992709788437,10524.893083471723,9947.559978820542,9947.562804768939,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
