ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6916.870616992332,8098.010834032446
2024-09-01,7592.625779355624,7002.3021160778535,8134.506754597046
2024-10-01,7682.053603032967,7066.684878241104,8219.25636385219
2024-11-01,7774.462355511511,7180.757926096936,8344.174721872088
2024-12-01,7863.890180232032,7328.921526812322,8436.808499113642
2025-01-01,7956.2989335723805,7382.155712054286,8492.59480803237
2025-02-01,8048.707686247238,7495.872264031828,8612.05000467848
2025-03-01,8132.173779157734,7540.531946371322,8690.620170838416
2025-04-01,8224.582668072047,7610.600775244859,8760.40223629298
2025-05-01,8314.010625953375,7781.007832953677,8911.082809206555
2025-06-01,8406.41951576408,7853.146708112772,8976.9285910392
2025-07-01,8495.847473645408,7947.343902552232,9092.719078147244
2025-07-31,8585.275431526738,7999.796975109399,9170.45375474658
2025-08-31,8677.684321337443,8103.6583087596855,9260.306875049755
2025-09-30,8767.11227921877,8182.371916204515,9359.872544032018
2025-10-31,8859.521169029476,8288.731304396908,9442.479944470047
2025-11-30,8948.949126910804,8378.274985605625,9534.87813927577
2025-12-31,9041.35801672151,8451.402492953548,9640.51542779419
2026-01-31,9133.766906532215,8554.51037256972,9682.766890480236
2026-02-28,9217.233000554788,8693.265908657466,9762.629180393234
2026-03-31,9309.641890365492,8742.458772150934,9878.359110885212
2026-04-30,9399.069848246821,8828.719951694831,9985.937079832287
2026-05-31,9491.478738057525,8886.091339628203,10064.167750513785
2026-06-30,9580.906695938855,8987.282033153822,10185.392394324843
2026-07-31,9673.315585749559,9092.113136452606,10224.631781463353
2026-08-31,9765.724475560266,9189.100045621451,10312.68925649143
2026-09-30,9855.152433441592,9291.241252804743,10404.271360928511
2026-10-31,9947.5613232523,9366.612576157007,10512.995793428723
2026-11-30,10036.989281133625,9461.17311192242,10618.745025738388
2026-12-31,10129.398170944332,9541.124834395423,10677.212592556563
2027-01-31,10221.807060755036,9662.757717146416,10790.640288815915
2027-02-28,10305.27315477761,9754.554236271351,10874.312633259899
2027-03-31,10397.682044588315,9847.412689647048,10965.118895731297
2027-04-30,10487.110002469642,9936.182503887712,11069.188164372319
2027-05-31,10579.518892280348,10021.894772808022,11145.860118677065
2027-06-30,10668.946850161676,10104.184677799285,11273.023556933746
