ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6911.10187930723,8063.389951886485,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,6969.232468034063,8146.042528300026,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7084.395888892209,8248.956771433881,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7191.096904234731,8356.698712255575,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7287.606180216799,8402.1183071769,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7362.646436287793,8508.831061513509,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7509.012751825391,8605.03178022053,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7558.431593064717,8734.013577644648,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7686.893642987617,8812.555282939478,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7754.418802150006,8857.807164262142,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7822.583223551281,8987.06589680859,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7946.501266797235,9071.01749726958,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8062.916471843815,9134.100354115448,8585.275412966605,8585.275446178017,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8068.662032371955,9239.693007811136,8677.68426414051,8677.684370176861,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8223.225773893506,9298.708534742558,8767.112173226014,8767.112372769578,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8291.77102767962,9386.402442372577,8859.520994716746,8859.521322390763,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8414.376873376983,9509.105128345434,8948.948882962988,8948.949357396537,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8478.887522326522,9582.583070922965,9041.357689382283,9041.358323519245,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8570.562445533602,9658.396870549936,9133.766494454392,9133.767297313432,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8658.440841160997,9774.913001102725,9217.232497097093,9217.233468256247,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8736.646123807977,9852.708842077964,9309.641284196674,9309.642456912805,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8806.57743297095,9946.380724078206,9399.069126476998,9399.070511006827,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8910.931568072168,10064.915897733688,9491.477887658384,9491.479493889125,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,8988.027221107037,10108.17673703123,9580.905728209056,9580.907574762186,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9167.037419627279,10232.335537779682,9673.314498319856,9673.316579495,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9180.797772493075,10306.68215725826,9765.723250771987,9765.725598060468,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9250.163118647322,10394.139413796676,9855.151045761999,9855.153670742848,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9372.855023561577,10522.13009675792,9947.559817135792,9947.562641062072,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9469.352171113424,10627.502363395399,10036.987624986257,10036.99079089503,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9548.288637589496,10676.86177408815,10129.39637038048,10129.399800013894,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9655.784553893649,10780.94125189712,10221.805095747932,10221.80884656439,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9738.34914990357,10869.072476619293,10305.270998756137,10305.27506439909,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9821.08091487958,10945.641352111852,10397.679745463342,10397.68410680356,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9920.504860915775,11036.36924613959,10487.107533589327,10487.112210802996,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,10034.618778015663,11126.003694536887,10579.516301603417,10579.521245297814,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10078.496766679868,11225.609142565198,10668.944148315033,10668.949352977676,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
