ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6922.715451336693,8062.362085595366,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7017.5128770443425,8159.079300733929,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7141.418724746265,8252.460094737728,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7171.471074340819,8343.630475226397,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7267.400753446549,8412.621365759647,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7375.018419577368,8523.261553061151,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7457.765681036542,8629.080082679824,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7597.9376606961005,8721.115005934013,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7661.97745275102,8793.100100809503,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7760.829927186646,8884.159295897385,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7811.305521905234,8944.613818500036,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7901.355250059617,9057.354471608098,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8001.178148651256,9213.59122234068,8585.275415572705,8585.275449034441,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8129.640949749035,9179.87189541201,8677.684268477542,8677.684377557864,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8205.661298871533,9315.30023878763,8767.112175327326,8767.11238992009,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8280.968139270542,9469.192084398936,8859.521004943379,8859.521347866255,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8357.28007116952,9490.827318058167,8948.94889994868,8948.94937993607,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8454.41646922635,9589.025166002792,9041.357706534705,9041.358354444299,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8590.65790129057,9743.825610334108,9133.766505878819,9133.767324810067,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8641.366642474024,9795.21301175132,9217.232497931438,9217.23351556487,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8724.17246291724,9865.70428900653,9309.641282889934,9309.642501809136,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8864.871587888574,9956.671602970733,9399.069150654685,9399.070573513587,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8896.272081388674,10050.376400457224,9491.47795095961,9491.479597134143,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,9008.902456603806,10163.656343916327,9580.905818416373,9580.907668168831,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9101.402858844014,10285.56664075367,9673.314613340908,9673.316698476467,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9179.59416791839,10327.502568933645,9765.723369954587,9765.725714055778,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9225.236461924816,10399.434687900512,9855.15116686609,9855.15380990848,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9393.593099465508,10535.188315412679,9947.559915544794,9947.56282545121,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9468.325566840653,10603.107836818665,10036.987741498155,10036.990894284576,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9535.988962867274,10710.453897608297,10129.396482312432,10129.39991916363,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9661.90748109954,10801.280559392062,10221.805220063061,10221.80893834067,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9721.333622017,10865.555634657752,10305.271194746521,10305.275193911677,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9846.76144186083,10968.561437832695,10397.67990807164,10397.684222821446,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9907.903560446988,11062.18318222003,10487.107707797208,10487.112348129685,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,10068.318843716468,11149.34035570773,10579.51642375578,10579.521365704499,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10116.694687326955,11240.365443896177,10668.944183586555,10668.949458538316,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
