ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6970.473900549171,8076.86965219362,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7032.2658800225445,8166.325450515,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7135.429299643879,8213.23006951763,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7207.665651616961,8316.95900741617,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7291.333751384119,8427.794922237888,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7371.246734122126,8584.720373808317,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7459.45784646698,8584.012812359482,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7557.695196743776,8729.660855933942,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7628.9029670057635,8795.112952279766,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7750.7830007202465,8873.07081319633,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7831.538958761211,8922.218983881137,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7932.613829961449,9102.725662968915,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,7996.805991893066,9140.39259079268,8585.275414319234,8585.27544724914,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8142.805667726467,9267.213081193724,8677.684264006588,8677.684371518708,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8224.032201908887,9297.864888831198,8767.112170668868,8767.112379619957,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8297.227186306842,9404.489070603098,8859.520996055482,8859.521323934052,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8334.079205039667,9540.977264013018,8948.948875938884,8948.949347282884,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8507.293959261224,9634.57337071057,9041.35769000484,9041.358304029332,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8594.783828657623,9754.26398701513,9133.76648942335,9133.767275088027,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8625.887532046,9763.818314513652,9217.232493203677,9217.23345084964,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8711.930072304562,9883.31540400038,9309.641292012422,9309.64242754628,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8816.568335448888,9933.251403501501,9399.069168387146,9399.070493715784,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8917.708467322387,10056.628437006357,9491.477967388008,9491.479490187821,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,8994.202587804037,10120.799416541882,9580.905811110732,9580.907575806816,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9128.86384090071,10252.776697227295,9673.314605504744,9673.316578055104,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9196.864387431151,10319.941683411018,9765.723378054417,9765.725601356064,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9261.402873774696,10413.35942059176,9855.151192816507,9855.153691793063,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9371.111365504208,10558.69573523354,9947.559966433655,9947.562711211845,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9444.98048564536,10618.44010765248,10036.987801225145,10036.990795406487,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9558.454441485059,10685.06975755471,10129.396534589474,10129.399807659165,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9619.70684359912,10706.300868313603,10221.805267372585,10221.80883691351,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9711.368743530422,10829.885129755787,10305.271198099525,10305.275058554078,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9811.954603598766,10966.490532402577,10397.6799369791,10397.684125833805,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9950.194137260838,11061.79638985183,10487.107735132626,10487.112222918944,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,10005.524029200818,11142.071511722823,10579.516432593908,10579.521281957755,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10131.184750286093,11254.306293401507,10668.944246357474,10668.949378146228,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
