ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6953.604446433059,8055.830014258219,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7071.117739791582,8171.429599155279,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7136.2449214937815,8274.112697858154,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7201.583284873698,8370.648671366569,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7318.388817161154,8407.329972738451,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7419.605497055964,8536.694613530437,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7454.954889016754,8573.02245918917,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7555.701513253545,8683.52103207359,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7688.379658193984,8801.896136127025,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7723.47629943992,8836.85941518413,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7872.205808805468,9007.20198188175,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7873.119631306122,9063.817934663235,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8026.999292178361,9135.081689368502,8585.27541402398,8585.275450476804,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8115.336095034762,9244.997463417962,8677.684266587588,8677.684383267775,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8175.280546619185,9303.133730101234,8767.112168173311,8767.112390774562,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8246.564134344304,9443.493299281896,8859.521009466374,8859.521338749797,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8421.320809398456,9525.021312315122,8948.9488954068,8948.949370074108,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8467.534134762722,9599.619483281016,9041.35771148935,9041.358325571351,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8524.75655753436,9700.391377230657,9133.766521281139,9133.767297598748,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8617.591987088703,9793.805825699092,9217.232527613125,9217.233487624393,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8732.844920325184,9862.386654486936,9309.641326798996,9309.642471914462,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8874.848488953226,9969.054196782605,9399.069179823304,9399.070517090056,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8955.572566267829,10078.703168320324,9491.477987037804,9491.479495435951,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,8987.078141101592,10168.24095338293,9580.9058377401,9580.907556259534,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9115.96203215672,10234.934221646115,9673.31459895323,9673.31654045493,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9187.251149937978,10315.926299196028,9765.723363308014,9765.725562139427,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9279.444526070187,10414.184988670822,9855.151195346129,9855.153653546242,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9445.349599274185,10496.134720563407,9947.559932363414,9947.562645778093,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9444.082550166662,10610.737012256712,10036.98777012537,10036.99072033074,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9578.577852258544,10692.356358187257,10129.396541862445,10129.399760960428,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
