ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6919.403982225908,8057.7342932501315,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7028.333536879501,8124.3360798712465,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7153.805714124587,8234.354828452279,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7176.743438085081,8304.157069230383,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7321.064935728604,8443.124195624076,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7377.08969169236,8504.768664987694,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7501.048903946312,8628.531187237902,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7576.594898452312,8703.495868737837,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7683.178132214931,8834.918284293151,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7706.201790171136,8925.682101008086,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7834.300450506619,8956.381167799966,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7885.641537068479,9077.431217802106,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8042.873297488432,9191.214454338431,8585.275416037384,8585.275450212264,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8148.2971743281805,9231.524520381487,8677.684272591083,8677.684384371534,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8175.4427028860155,9311.370938914091,8767.112181653738,8767.112401673348,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8324.063897228129,9394.663211261293,8859.52101769647,8859.521365641325,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8397.332776503443,9514.393812970204,8948.948913247397,8948.949407845588,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8494.846376463265,9596.85943630851,9041.357728962019,9041.358377821442,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8512.23665344761,9711.149253773976,9133.766538056561,9133.767364160589,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8606.001441688715,9797.54114429417,9217.232543234315,9217.233554319784,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8736.78216959669,9884.812356893608,9309.641354147092,9309.642554722199,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8831.694998965246,9962.721616881454,9399.069216053564,9399.070624631382,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8906.95365412192,10073.10946761443,9491.478005785242,9491.479620758411,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,9005.880777973525,10142.354791637912,9580.90585834579,9580.907694852798,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9134.428548734448,10197.433115109083,9673.314621093099,9673.316709074254,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9167.395403285593,10358.860005338534,9765.723394795048,9765.725743076242,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9284.5386350512,10440.063866745279,9855.1512360482,9855.153846166386,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9405.926249657772,10529.20000648127,9947.559989163341,9947.562887334761,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9492.709843200942,10616.50299621649,10036.98782958604,10036.991001570155,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9557.934491329155,10740.678840524522,10129.39658762936,10129.40003950888,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9623.137715298391,10798.14475335519,10221.805315578527,10221.809112039557,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9780.802865742873,10893.135509892962,10305.271248595867,10305.275331934718,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9846.103983254623,10998.927768437423,10397.679977431742,10397.684366688873,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9915.12993498434,11070.715049448314,10487.107802210672,10487.112473129137,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,9995.36286271379,11110.653518983983,10579.516576244838,10579.521526542947,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10073.672795271257,11244.578344747406,10668.944374789173,10668.949695740404,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
