ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6964.018386179183,8063.603907417409,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7024.748315011998,8170.987122233898,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7096.392707003138,8239.899556171576,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7207.156672188752,8324.408214628429,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7325.063915996348,8471.613471637971,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7434.403618858615,8499.862767951918,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7495.761930036717,8655.999654207553,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7579.418379238912,8687.18064820639,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7687.492527325613,8780.772713192664,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7765.702477077837,8886.5006040776,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7805.449014681616,8937.8595660769,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7957.4158014476,9069.767907328831,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8013.037889188595,9180.217807715688,8585.275414098784,8585.275448369515,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8112.203227034459,9308.189770039093,8677.684267059982,8677.684376588822,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8197.53030867099,9321.149063857549,8767.112178169076,8767.112379217904,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8272.61511716552,9434.398077173582,8859.521007648751,8859.52133277762,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8424.412400878504,9531.808391280227,8948.94889862021,8948.949358038768,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8473.693564340972,9594.482630307832,9041.35771327424,9041.358330425073,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8587.116506592662,9691.456404566507,9133.766522614658,9133.767290687043,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8650.372704632506,9818.388302015797,9217.232537700362,9217.233484714914,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8723.025711511198,9864.6434957886,9309.641347284605,9309.642474382152,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8812.507657510158,9977.100178424102,9399.06921988798,9399.070552247671,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8949.434758314263,10053.047132336633,9491.478007885757,9491.479556235929,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,8993.958155639675,10147.36535547924,9580.90586000528,9580.907626294942,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9119.055369519034,10272.566285335108,9673.314617488955,9673.316627924087,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9218.097793063464,10335.46237413197,9765.723394104249,9765.72561155594,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9308.16298970379,10441.563686196054,9855.151231732758,9855.153689291172,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9369.557944173186,10529.091747971524,9947.559997477829,9947.56271561967,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9442.4978554364,10588.257660722977,10036.987820665923,10036.99078582545,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9562.918661927595,10665.690276386043,10129.396582655609,10129.399772741872,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9641.330698077381,10802.780371539768,10221.80535530368,10221.80878985463,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9730.749852944713,10864.38794126116,10305.271314345231,10305.275044414353,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9824.685366457095,10934.209536679075,10397.680109090514,10397.68407146344,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9903.885500383647,11062.909761396944,10487.107916010824,10487.112197115537,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,9995.93088741926,11182.053639686703,10579.516641201142,10579.521231248355,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10101.228959776841,11249.001370161752,10668.944458346457,10668.949351219717,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
