ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6970.066963706634,8120.777205950821,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7057.985852626755,8140.659618206094,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7114.359125075746,8230.14664390602,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7191.887611114209,8333.4088204459,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7323.381280579256,8464.718696757924,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7403.049042508563,8519.054934875865,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7528.505532673229,8616.071713088277,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7545.748210008121,8739.702771046079,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7644.276028750643,8814.778745221824,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7750.048953608451,8866.711804503493,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7832.394783200189,8983.956606851743,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7906.031950135034,9083.03876805128,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8057.014986020308,9165.912114824825,8585.275411954319,8585.275445383368,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8156.545282677692,9247.904974347452,8677.684258041334,8677.68436868516,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8197.431534744941,9264.349111270943,8767.112164830894,8767.112373193595,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8297.37102968242,9406.76540847321,8859.520999503424,8859.521321404682,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8363.064737713843,9527.937468712787,8948.948890298407,8948.949347367998,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8462.613660175304,9626.073274851164,9041.357701482888,9041.358309476997,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8590.303825839672,9692.965444042702,9133.76650443747,9133.76727191209,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8623.509304569398,9809.595426720949,9217.232507039085,9217.233456635206,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8722.216020516591,9856.701797017475,9309.64128470944,9309.642455805695,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8826.163249387484,9956.82348736021,9399.06914615911,9399.070504382442,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8912.728854035026,10107.921839757011,9491.477939895862,9491.479515964053,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,9016.107038815479,10146.025505315747,9580.905783121729,9580.90758844895,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9110.642091212958,10214.555473042617,9673.314566836201,9673.316598482312,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9236.363523703152,10305.45849329711,9765.723335250348,9765.725636039799,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9273.117831788195,10398.226006504088,9855.151162313105,9855.153756393462,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9372.20645041544,10488.835697998386,9947.559905280466,9947.562757643884,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9429.781864464943,10626.808039266245,10036.987727169573,10036.990847169782,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9568.010607212507,10666.402569013071,10129.39647506135,10129.399891954417,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9666.162701914674,10766.730883854661,10221.805229347863,10221.80893100876,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9757.74363835456,10846.181611299016,10305.271158771642,10305.2751874321,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9825.907444195782,10972.409372169752,10397.679866368626,10397.684282224152,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9934.442272457356,11066.41332312003,10487.107638978012,10487.112388134852,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,10030.668136700318,11157.811204790642,10579.516385451254,10579.521488933044,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10094.86373460806,11264.978694878766,10668.944161805086,10668.949639648185,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
