ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6924.032020282876,8039.397998026834,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7021.328153752732,8197.60270973071,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7115.892329303234,8227.894564581487,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7201.022506497694,8354.966311350632,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7256.110626325632,8454.116970432477,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7361.157636900166,8517.464193979065,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7481.493888137078,8602.504587983052,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7592.383498209023,8662.572512929308,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7664.64938403397,8829.61796904553,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7767.534810465729,8889.676522728001,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7809.491902340677,8985.14719008947,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7916.270094415175,9048.2312603392,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,7969.334104013334,9122.173901688202,8585.275415536724,8585.2754489519,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8126.176400028322,9210.127522333027,8677.68426785746,8677.68437657002,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8236.12900083126,9344.536027067134,8767.112178595813,8767.112383680093,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8258.494754547228,9423.372675103197,8859.521004691042,8859.521334063058,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8373.439251502607,9513.484280828083,8948.948891434746,8948.949358480584,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8510.205587476392,9569.52553581075,9041.357704167141,9041.358328263665,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8589.962350351043,9683.157777119457,9133.766524055756,9133.767301028578,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8609.803375852613,9774.819432317136,9217.232533349808,9217.23347556902,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8772.360040085887,9868.965810121425,9309.641321106146,9309.642464252696,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8830.613553532561,9986.627156335824,9399.069182661564,9399.070501833194,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8870.896897399381,10023.772427384993,9491.477947233194,9491.479501201857,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,9044.92259336686,10130.742441766459,9580.905782883196,9580.907559331923,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9125.704115321576,10243.711969338408,9673.314534617639,9673.31658685805,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9237.441155947306,10334.732757496775,9765.723318032817,9765.725617188062,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9296.457558051497,10416.126880177566,9855.151124178115,9855.153690387908,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9399.18847813791,10438.575379034974,9947.559891500829,9947.562690827855,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9453.372193188006,10586.151515963647,10036.987723195154,10036.990762948633,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9562.310834095375,10684.31005788659,10129.39644683235,10129.399771234079,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9601.645426149276,10788.838380035173,10221.805196900023,10221.808801432086,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9734.511508248013,10846.74973211465,10305.271179678513,10305.275047753212,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9832.367111767753,10954.051108111946,10397.679923473272,10397.684067486667,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9904.528218517864,11012.830741903785,10487.107757567597,10487.11221488516,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,10023.767087026425,11177.413662243831,10579.51647648055,10579.521267575146,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10121.077410282449,11220.294843635535,10668.944309432227,10668.949381313907,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
