ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6954.512145659743,8058.900239666599,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,6987.436338808255,8135.111612854799,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7102.025110169942,8269.103377238878,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7225.182491801307,8317.031681957162,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7339.001272951169,8442.272062092632,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7368.783795268328,8503.261691314534,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7464.579521376235,8625.120483110264,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7544.924176145172,8677.083169328991,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7699.149931744295,8813.7462300075,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7718.2930450112335,8854.256776816077,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7827.060840220268,8992.357381972639,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7939.2558870271005,9089.20901048941,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8028.882594539149,9138.36036406718,8585.275414858863,8585.275447114474,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8129.9128426362,9259.99303527381,8677.684267489554,8677.684371599147,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8169.04247378126,9336.049088931759,8767.112177301053,8767.112383080883,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8325.390353876044,9410.070389237508,8859.521008615273,8859.521325994936,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8386.09271608452,9559.88680790167,8948.94890000893,8948.949351797646,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8485.45925460987,9631.237677432484,9041.357703797805,9041.358330744662,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8548.594073287808,9628.138468229132,9133.766503828308,9133.76730100285,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8610.329338596386,9789.095459528055,9217.232519745341,9217.233496779241,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8741.679263934298,9811.226160066057,9309.641310711868,9309.642478821295,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8798.043821057725,9982.522210277677,9399.069173581142,9399.070521104806,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8959.535157968357,10108.276804490139,9491.477952980624,9491.47951408599,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,9029.779321345495,10140.421448969375,9580.90579496051,9580.907577499618,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9124.655181365973,10259.791982872115,9673.314557360243,9673.31660181173,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9186.86303947747,10313.096835652057,9765.723301773698,9765.725608664265,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9295.009543936452,10452.420193139058,9855.151115749537,9855.153635937835,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9404.660739572382,10477.960747612029,9947.559863206066,9947.562650328848,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9460.275317776151,10568.489454670687,10036.98772595422,10036.99074698088,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9564.125353065454,10709.688305250302,10129.396448269754,10129.399797177928,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9642.951433225526,10772.33916132499,10221.805184018684,10221.808826528319,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9718.082644197913,10837.924848845692,10305.271094943722,10305.275072374207,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9859.936467972606,10988.375459722662,10397.679831935397,10397.684108491543,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9934.279083313473,11053.020642873935,10487.107628223346,10487.112235441016,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,10047.367993171189,11191.275288910754,10579.516315560715,10579.52129254047,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10107.059529254178,11209.292763903375,10668.944062752973,10668.949420411414,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
