ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6952.028733153757,8064.353333036711,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7055.214866712653,8165.870940166652,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7090.457457363784,8249.902821760867,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7173.174752503525,8349.74705874604,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7300.448407464126,8460.538733848638,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7416.163804338691,8515.659365604242,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7468.336405750517,8590.675561033728,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7535.188359209413,8706.024930089523,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7648.216718576713,8788.350059605433,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7721.5737615023845,8894.35708109179,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7857.486022897295,8947.852116196857,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7908.4317429612165,9059.23755508168,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,7977.691572198705,9154.80524246017,8585.275413519648,8585.275449018545,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8146.50186799955,9262.924329113801,8677.684264700838,8677.68437639417,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8204.379999675468,9334.363901678513,8767.11217368327,8767.112400769407,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8295.360570708812,9405.610441760311,8859.521002877917,8859.521354104014,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8381.317762712462,9533.550775456188,8948.948885741107,8948.949387325702,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8490.135887839286,9598.50403381329,9041.357697359996,9041.358349002041,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8590.926478951815,9721.063728811561,9133.766506019134,9133.767330792873,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8650.526158466122,9806.983761330182,9217.232493843878,9217.233518895246,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8757.29559468221,9869.550226841055,9309.641280808739,9309.642515704343,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8847.475920968534,9951.166903793597,9399.069130969849,9399.07059477475,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8920.589599633842,10074.949015434551,9491.477902329723,9491.479601601124,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,8954.714329233664,10172.921629053624,9580.905719539413,9580.907678873258,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9083.791415276977,10262.507771538922,9673.314489333272,9673.316666892024,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9170.117449741721,10309.421255460704,9765.723237141114,9765.725679883426,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9305.018554075443,10448.559389291082,9855.151067440278,9855.1537771228,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9398.986865418636,10524.479219634846,9947.55979261671,9947.562824708457,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9479.372405419468,10633.846986791053,10036.987629766703,10036.99089970746,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9580.618224713038,10724.232117362375,10129.396403446624,10129.399910575186,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
