ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6882.858272905967,8040.138089338412
2024-09-01,7592.625779355624,7002.054370142413,8135.849238277448
2024-10-01,7682.053603032967,7144.649183646597,8239.948036513642
2024-11-01,7774.462355511511,7224.194143940834,8351.569832123036
2024-12-01,7863.890180232032,7298.631769228735,8425.20462983041
2025-01-01,7956.2989335723805,7410.710890520352,8530.821141951921
2025-02-01,8048.707686247238,7480.091403897977,8589.285368688172
2025-03-01,8132.173779157734,7561.469221192378,8738.268489895521
2025-04-01,8224.582668072047,7667.233441583963,8801.521577132342
2025-05-01,8314.010625953375,7739.134068326208,8920.256648958873
2025-06-01,8406.41951576408,7816.653810639668,8944.307082106741
2025-07-01,8495.847473645408,7975.198772441997,9106.231199503538
2025-07-31,8585.275431526738,8025.708886777203,9132.02516187922
2025-08-31,8677.684321337443,8086.669372918509,9227.619449674441
2025-09-30,8767.11227921877,8187.618260083766,9382.912797131543
2025-10-31,8859.521169029476,8314.425507019554,9415.002634604203
2025-11-30,8948.949126910804,8372.869573804759,9535.873344204843
2025-12-31,9041.35801672151,8446.63381391361,9624.718995398616
2026-01-31,9133.766906532215,8602.17710503981,9692.306595418864
2026-02-28,9217.233000554788,8643.562778010923,9768.591121778894
2026-03-31,9309.641890365492,8758.730800072191,9846.081099492225
2026-04-30,9399.069848246821,8802.235480141875,9976.735210271248
2026-05-31,9491.478738057525,8930.674658798333,10072.526820847997
2026-06-30,9580.906695938855,9044.33997948255,10143.748098593325
2026-07-31,9673.315585749559,9100.95055390682,10229.551332023299
2026-08-31,9765.724475560266,9164.466384083862,10284.542907146959
2026-09-30,9855.152433441592,9254.41100696827,10386.19990157587
2026-10-31,9947.5613232523,9390.10200540608,10539.055990144918
2026-11-30,10036.989281133625,9493.215613779466,10585.926066291537
2026-12-31,10129.398170944332,9617.340899879335,10728.29633625255
2027-01-31,10221.807060755036,9662.201601563638,10779.683950636758
2027-02-28,10305.27315477761,9757.105540106282,10905.661914892558
2027-03-31,10397.682044588315,9858.854026370029,10979.286479626195
2027-04-30,10487.110002469642,9961.877282855015,11044.945611238141
2027-05-31,10579.518892280348,10027.447747479218,11114.592578339458
2027-06-30,10668.946850161676,10074.065269881545,11225.743809824651
