ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6975.655966105517,8113.789678835431
2024-09-01,7592.625779355624,6998.318314440362,8152.823405958086
2024-10-01,7682.053603032967,7111.6373058962035,8268.515881468782
2024-11-01,7774.462355511511,7177.528418307658,8321.509317039694
2024-12-01,7863.890180232032,7273.570907352389,8404.13796222699
2025-01-01,7956.2989335723805,7412.834799774497,8512.266669353712
2025-02-01,8048.707686247238,7485.230639833272,8671.167454803908
2025-03-01,8132.173779157734,7579.34630365166,8705.697450736727
2025-04-01,8224.582668072047,7631.6267485269345,8811.233433157802
2025-05-01,8314.010625953375,7740.143908914058,8903.370453418172
2025-06-01,8406.41951576408,7828.156880055391,9015.764195598675
2025-07-01,8495.847473645408,7923.948069199238,9078.253116592447
2025-07-31,8585.275431526738,8017.562694030711,9154.457339381384
2025-08-31,8677.684321337443,8123.499023507486,9205.298038740208
2025-09-30,8767.11227921877,8221.306990169893,9366.21451363021
2025-10-31,8859.521169029476,8316.145979604942,9420.421172419496
2025-11-30,8948.949126910804,8386.799065741467,9513.048000954934
2025-12-31,9041.35801672151,8475.545259388029,9598.215076189561
2026-01-31,9133.766906532215,8532.620893383097,9700.397476408369
2026-02-28,9217.233000554788,8668.833166213883,9776.198280945031
2026-03-31,9309.641890365492,8762.05389469422,9914.32769478274
2026-04-30,9399.069848246821,8840.646873226766,9929.211222736305
2026-05-31,9491.478738057525,8889.828430514985,10058.601934588021
2026-06-30,9580.906695938855,9018.29387833231,10158.433742330288
2026-07-31,9673.315585749559,9120.21636405572,10212.760592063887
2026-08-31,9765.724475560266,9201.035556890156,10321.044489283813
2026-09-30,9855.152433441592,9246.864396756564,10445.65495253867
2026-10-31,9947.5613232523,9352.676299330094,10543.379304619333
2026-11-30,10036.989281133625,9472.278179477426,10576.92935400319
2026-12-31,10129.398170944332,9540.344820152346,10674.102827964009
2027-01-31,10221.807060755036,9633.08226963243,10804.93178126363
2027-02-28,10305.27315477761,9733.944420978461,10883.51445726443
2027-03-31,10397.682044588315,9910.931009943468,10950.881491816857
2027-04-30,10487.110002469642,9939.5087185864,11033.793659689296
2027-05-31,10579.518892280348,10016.871906907409,11184.083556857666
2027-06-30,10668.946850161676,10053.833806558558,11232.37405551459
