ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6938.760991748621,8095.098099566346,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7019.045845526376,8130.790008894441,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7141.70905522589,8283.99421215344,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7192.523250701829,8330.688303215014,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7269.918951323046,8421.244612566257,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7419.062415855533,8526.476578944994,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7478.8704469621825,8621.987336714674,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7580.985305571096,8746.395068539417,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7659.871293336364,8844.24999357185,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7761.396903756159,8925.07792697446,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7824.067650495329,8935.598884795174,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7919.7522637617685,9027.24096202391,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8050.636697038705,9178.233822313823,8585.27541508352,8585.275446486557,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8103.464786995484,9251.593992787042,8677.684270780308,8677.684366339916,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8187.649916835033,9362.999277785106,8767.11218096999,8767.112368721386,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8279.516460763467,9424.629227121686,8859.521013416814,8859.521316183767,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8397.188265965075,9522.738897203926,8948.948899972569,8948.949337400072,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8465.909527354455,9586.026537678474,9041.357713915819,9041.35830350955,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8589.501623210455,9699.921701416766,9133.766516714777,9133.76727691788,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8657.272162788255,9766.267392958382,9217.23252982224,9217.233436285218,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8753.989231207703,9896.941640300927,9309.641314450922,9309.642409037007,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8851.414330478623,9938.316788178674,9399.06917719355,9399.07044792126,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8930.095268945583,10060.919775637436,9491.477981841887,9491.479453958678,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,9008.622899557677,10102.754233406113,9580.905832440345,9580.907532167183,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9138.544274859692,10249.170836477935,9673.314610597079,9673.316554908231,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9182.59337949342,10293.230136253978,9765.723355951313,9765.725572796304,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9317.38421374313,10421.783459483913,9855.15119376162,9855.153655784594,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9335.995694955798,10507.86750433834,9947.559917786493,9947.56268701683,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9452.28068183568,10584.962883393711,10036.9877116459,10036.990787904959,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9553.984675861579,10715.65221464036,10129.39646265449,10129.399819931547,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9633.619005107219,10752.049860785854,10221.805199345952,10221.808863292685,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9737.452284874158,10882.463708373913,10305.271164754959,10305.275105638424,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9776.425021317371,10959.944562551113,10397.679915870835,10397.684113853467,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9913.694853971867,11045.261205626897,10487.10771292354,10487.112254836511,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,9995.63727844234,11125.386231071638,10579.5164226309,10579.521338039165,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10088.76032325412,11245.720944953238,10668.944209876454,10668.949529875325,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
