ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6902.619363592065,8075.470225319565
2024-09-01,7592.625779355624,7004.121723369065,8155.397933211468
2024-10-01,7682.053603032967,7151.809316899046,8248.265317844622
2024-11-01,7774.462355511511,7191.81002781767,8351.514399553364
2024-12-01,7863.890180232032,7323.305039887289,8443.990781272645
2025-01-01,7956.2989335723805,7367.341469920691,8510.529748321733
2025-02-01,8048.707686247238,7521.139081721565,8598.138789499
2025-03-01,8132.173779157734,7583.771005914411,8666.769504033406
2025-04-01,8224.582668072047,7652.637644695624,8778.775039720142
2025-05-01,8314.010625953375,7782.746161969779,8876.2376388017
2025-06-01,8406.41951576408,7832.120601028818,9026.812635702543
2025-07-01,8495.847473645408,7927.189013662199,9049.78912000482
2025-07-31,8585.275431526738,7992.056149348112,9170.5129147612
2025-08-31,8677.684321337443,8113.109331419973,9223.51866206304
2025-09-30,8767.11227921877,8176.387599141371,9336.769679899127
2025-10-31,8859.521169029476,8302.90232395325,9397.205517363222
2025-11-30,8948.949126910804,8366.542060583404,9556.57851027567
2025-12-31,9041.35801672151,8479.874980021883,9633.351560573548
2026-01-31,9133.766906532215,8564.390567347722,9718.685663924922
2026-02-28,9217.233000554788,8614.775978806292,9791.302001432643
2026-03-31,9309.641890365492,8752.03643048431,9893.24569167328
2026-04-30,9399.069848246821,8824.216695624622,9927.80708733163
2026-05-31,9491.478738057525,8918.618382609462,10042.853357121625
2026-06-30,9580.906695938855,9020.427733566965,10177.12345362537
2026-07-31,9673.315585749559,9118.88825835124,10202.87046818567
2026-08-31,9765.724475560266,9219.769202829022,10263.279393422146
2026-09-30,9855.152433441592,9307.085387006111,10433.16552202826
2026-10-31,9947.5613232523,9342.426669841185,10556.892325967336
2026-11-30,10036.989281133625,9486.14780823021,10617.939352570911
2026-12-31,10129.398170944332,9556.268958975741,10678.580801973096
2027-01-31,10221.807060755036,9674.389284158935,10758.691790487144
2027-02-28,10305.27315477761,9741.996313405298,10871.436289843698
2027-03-31,10397.682044588315,9802.844054804054,10998.824254160847
2027-04-30,10487.110002469642,9946.36995613023,11028.111331378357
2027-05-31,10579.518892280348,9992.447959189822,11128.342533211266
2027-06-30,10668.946850161676,10091.192410175265,11241.271980038091
