ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-01,7500.217028684633,6931.7546230620665,8054.393931959813,7500.217028684633,7500.217028684633,0.0,0.0,0.0,0.0,0.0,0.0,7500.217028684633
2024-09-01,7592.625779355624,7015.341446696336,8182.688965717475,7592.625779355624,7592.625779355624,0.0,0.0,0.0,0.0,0.0,0.0,7592.625779355624
2024-10-01,7682.053603032967,7101.700271788701,8244.500954329342,7682.053603032967,7682.053603032967,0.0,0.0,0.0,0.0,0.0,0.0,7682.053603032967
2024-11-01,7774.462355511511,7209.474108628887,8359.145204295535,7774.462355511511,7774.462355511511,0.0,0.0,0.0,0.0,0.0,0.0,7774.462355511511
2024-12-01,7863.890180232032,7295.666515391103,8390.321427846824,7863.890180232032,7863.890180232032,0.0,0.0,0.0,0.0,0.0,0.0,7863.890180232032
2025-01-01,7956.2989335723805,7362.277734952214,8548.183603335568,7956.2989335723805,7956.2989335723805,0.0,0.0,0.0,0.0,0.0,0.0,7956.2989335723805
2025-02-01,8048.707686247238,7489.636181252634,8609.102139482338,8048.707686247238,8048.707686247238,0.0,0.0,0.0,0.0,0.0,0.0,8048.707686247238
2025-03-01,8132.173779157734,7541.106007717902,8706.849193048329,8132.173779157734,8132.173779157734,0.0,0.0,0.0,0.0,0.0,0.0,8132.173779157734
2025-04-01,8224.582668072047,7672.99196600787,8776.501916071475,8224.582668072047,8224.582668072047,0.0,0.0,0.0,0.0,0.0,0.0,8224.582668072047
2025-05-01,8314.010625953375,7783.218132643277,8894.19321934823,8314.010625953375,8314.010625953375,0.0,0.0,0.0,0.0,0.0,0.0,8314.010625953375
2025-06-01,8406.41951576408,7871.311660117036,8963.303295973186,8406.41951576408,8406.41951576408,0.0,0.0,0.0,0.0,0.0,0.0,8406.41951576408
2025-07-01,8495.847473645408,7946.748124878192,9056.909866531058,8495.847473645408,8495.847473645408,0.0,0.0,0.0,0.0,0.0,0.0,8495.847473645408
2025-07-31,8585.275431526738,8022.432285122318,9132.813062673964,8585.275415663296,8585.275449219624,0.0,0.0,0.0,0.0,0.0,0.0,8585.275431526738
2025-08-31,8677.684321337443,8135.815574438806,9200.478294823512,8677.6842673591,8677.68438188505,0.0,0.0,0.0,0.0,0.0,0.0,8677.684321337443
2025-09-30,8767.11227921877,8187.667709139226,9325.830460392584,8767.11217639885,8767.11238804504,0.0,0.0,0.0,0.0,0.0,0.0,8767.11227921877
2025-10-31,8859.521169029476,8338.908633461597,9419.170914907883,8859.521004786571,8859.52134531528,0.0,0.0,0.0,0.0,0.0,0.0,8859.521169029476
2025-11-30,8948.949126910804,8384.474356934474,9533.338703643156,8948.948889334473,8948.9493720542,0.0,0.0,0.0,0.0,0.0,0.0,8948.949126910804
2025-12-31,9041.35801672151,8476.643153827588,9647.923672671748,9041.357704149117,9041.358346167855,0.0,0.0,0.0,0.0,0.0,0.0,9041.35801672151
2026-01-31,9133.766906532215,8581.814288282345,9688.449731741504,9133.766501688968,9133.767323109185,0.0,0.0,0.0,0.0,0.0,0.0,9133.766906532215
2026-02-28,9217.233000554788,8645.786598265036,9791.376110838019,9217.232504638243,9217.233513165262,0.0,0.0,0.0,0.0,0.0,0.0,9217.233000554788
2026-03-31,9309.641890365492,8702.723063376572,9862.511958247265,9309.641280959515,9309.64249980097,0.0,0.0,0.0,0.0,0.0,0.0,9309.641890365492
2026-04-30,9399.069848246821,8843.217313852932,9936.837540264343,9399.069136331645,9399.070577069471,0.0,0.0,0.0,0.0,0.0,0.0,9399.069848246821
2026-05-31,9491.478738057525,8977.738821647536,10077.017413250316,9491.477923031744,9491.479579798306,0.0,0.0,0.0,0.0,0.0,0.0,9491.478738057525
2026-06-30,9580.906695938855,8974.457114329582,10143.620137549678,9580.905745934377,9580.907649087725,0.0,0.0,0.0,0.0,0.0,0.0,9580.906695938855
2026-07-31,9673.315585749559,9140.153596008897,10229.377427195597,9673.314539686768,9673.316651922856,0.0,0.0,0.0,0.0,0.0,0.0,9673.315585749559
2026-08-31,9765.724475560266,9162.550377339396,10290.14881930487,9765.723287347808,9765.725639165656,0.0,0.0,0.0,0.0,0.0,0.0,9765.724475560266
2026-09-30,9855.152433441592,9292.420130453342,10423.9740154578,9855.151113666954,9855.153736940838,0.0,0.0,0.0,0.0,0.0,0.0,9855.152433441592
2026-10-31,9947.5613232523,9359.342274139872,10552.184755982516,9947.559881086641,9947.562804984913,0.0,0.0,0.0,0.0,0.0,0.0,9947.5613232523
2026-11-30,10036.989281133625,9450.587859028004,10562.388031832523,10036.98769746721,10036.990881797587,0.0,0.0,0.0,0.0,0.0,0.0,10036.989281133625
2026-12-31,10129.398170944332,9600.980806706404,10669.687787733686,10129.39646805885,10129.399948811055,0.0,0.0,0.0,0.0,0.0,0.0,10129.398170944332
2027-01-31,10221.807060755036,9647.504413004244,10839.73081052126,10221.805241714854,10221.808987796361,0.0,0.0,0.0,0.0,0.0,0.0,10221.807060755036
2027-02-28,10305.27315477761,9730.119011698478,10879.401576076863,10305.271150749017,10305.27522187077,0.0,0.0,0.0,0.0,0.0,0.0,10305.27315477761
2027-03-31,10397.682044588315,9811.18786527882,10965.719287861404,10397.67987472617,10397.684274475785,0.0,0.0,0.0,0.0,0.0,0.0,10397.682044588315
2027-04-30,10487.110002469642,9939.110388016603,11088.551916561046,10487.107691818297,10487.11241683604,0.0,0.0,0.0,0.0,0.0,0.0,10487.110002469642
2027-05-31,10579.518892280348,9988.689150552607,11167.23549649851,10579.51644140762,10579.521500771081,0.0,0.0,0.0,0.0,0.0,0.0,10579.518892280348
2027-06-30,10668.946850161676,10086.55285134381,11254.968256729533,10668.944211059707,10668.949583404366,0.0,0.0,0.0,0.0,0.0,0.0,10668.946850161676
