date,yhat,yhat_lower,yhat_upper
2023-10-01,4584390.331647604,3174918.5008624387,5979064.761902666
2023-11-01,4603598.516520976,3151958.4859380275,6123054.641632132
2023-12-01,4622187.082354272,3167880.6840108577,5976313.230913589
2024-01-01,4641395.265769637,3118051.8365938654,6034325.282627406
2024-02-01,4660603.448319265,3144910.0958499266,6081538.913041112
2024-03-01,4678572.3943813825,3192246.25761898,6105825.459024236
2024-04-01,4697780.57689522,3282446.950440656,6218795.332737311
2024-05-01,4716369.140931711,3258666.265459873,6300591.241104303
2024-06-01,4735577.324065719,3331779.0534864278,6139105.705790344
2024-07-01,4754165.889774225,3288086.8319278043,6197164.919549544
2024-08-01,4773374.075074676,3347051.4991407017,6211479.348387732
2024-09-01,4792582.261221125,3405844.9465095727,6295490.635680158
2024-10-01,4811170.827867925,3359137.430578604,6160966.72295515
2024-11-01,4830379.0128171835,3416779.8487518914,6200792.844518089
2024-12-01,4848967.579138525,3396885.8685957985,6341655.050239141
2025-01-01,4868176.452669041,3376191.4312117677,6215302.045176267
2025-02-01,4887385.358389728,3422761.6627800944,6281529.533443288
2025-03-01,4904735.338347919,3482793.401834895,6370259.628559337
2025-04-01,4923944.2447302025,3422731.1281405627,6368268.289274502
2025-05-01,4942533.508971122,3504624.848092195,6416092.512958919
2025-06-01,4961742.415353405,3530097.9438069426,6388760.43535854
2025-07-01,4980331.679594324,3509888.67715333,6426302.325147923
2025-07-01,4998920.943835243,3570783.262373323,6516690.819836563
2025-08-01,5018129.850217526,3599270.9595896215,6515159.496377784
2025-09-01,5036719.114458446,3634472.8936843188,6548866.591631562
2025-10-01,5055928.020840729,3622162.2058233805,6496454.629068915
2025-11-01,5074517.285081648,3551210.432928983,6477340.927606015
2025-12-01,5093726.1914639305,3581029.060187029,6483780.473510499
2026-01-01,5112935.097846214,3586063.9508441025,6587610.467665338
2026-02-01,5130285.077804405,3766663.092814474,6576870.782523985
2026-03-01,5149493.984186688,3759231.1349541903,6547885.97868537
2026-04-01,5168083.248427608,3761211.9757269253,6602649.525748437
2026-05-01,5187292.154809891,3776092.6320197745,6667599.935547126
2026-06-01,5205881.41905081,3828880.7478437168,6535985.099589136
2026-07-01,5225090.325433093,3848365.3788337708,6636039.930428712
2026-08-01,5244299.231815376,3910941.5753435725,6615003.376808451
2026-09-01,5262888.496056296,3856011.9590004776,6726235.311824951
2026-10-01,5282097.402438578,3905163.8899467904,6742681.504268641
2026-11-01,5300686.666679498,3945581.0487404508,6676747.970919672
2026-12-01,5319895.57306178,3992686.20464228,6854615.105124125
2027-01-01,5339104.479444064,3898454.5206262534,6803273.742310393
2027-02-01,5356454.459402256,3890545.6405127854,6818273.2567174975
2027-03-01,5375663.365784539,4029838.091694205,6979829.315623445
2027-04-01,5394252.630025458,3973461.055362002,6864588.172556744
2027-05-01,5413461.536407741,4019156.494366952,6899152.017917913
2027-06-01,5432050.8006486595,3983007.158052203,6834746.97383156
