date,yhat,yhat_lower,yhat_upper
2023-10-01,4584390.331647604,3150361.889501404,6023169.336524246
2023-11-01,4603598.516520976,3147405.0741623156,6048850.778340092
2023-12-01,4622187.082354272,3259040.7083735093,6108135.384056881
2024-01-01,4641395.265769637,3165579.710132176,6100307.410048822
2024-02-01,4660603.448319265,3292465.2884913906,6085672.603136901
2024-03-01,4678572.3943813825,3249235.3885746137,6150049.079025297
2024-04-01,4697780.57689522,3263213.075803953,6114094.892387432
2024-05-01,4716369.140931711,3186827.627326799,6139083.430481518
2024-06-01,4735577.324065719,3280832.6314813807,6176135.436252227
2024-07-01,4754165.889774225,3224404.3886785163,6192722.047462657
2024-08-01,4773374.075074676,3371523.3588860785,6291958.4636069
2024-09-01,4792582.261221125,3408638.8544331267,6213463.547621471
2024-10-01,4811170.827867925,3324012.3465063176,6346529.760681846
2024-11-01,4830379.0128171835,3394716.9446199406,6225416.656902009
2024-12-01,4848967.579138525,3381649.661962738,6319344.613301708
2025-01-01,4868176.452669041,3408863.2674220023,6320054.055435939
2025-02-01,4887385.358389728,3387635.2572834217,6235069.665150577
2025-03-01,4904735.338347919,3457929.4354968127,6379993.277004257
2025-04-01,4923944.2447302025,3581316.1961756386,6413195.4282123465
2025-05-01,4942533.508971122,3457621.3195103416,6392650.258680312
2025-06-01,4961742.415353405,3513660.1898764893,6464624.51222708
2025-07-01,4980331.679594324,3626382.4339157296,6361212.674605976
2025-07-01,4998920.943835243,3657877.7996090846,6428602.120092369
2025-08-01,5018129.850217526,3601053.0466049025,6433624.428121011
2025-09-01,5036719.114458446,3523013.8074390683,6421839.53899447
2025-10-01,5055928.020840729,3755332.4394741375,6492061.167337149
2025-11-01,5074517.285081648,3629015.3570720595,6530138.425067252
2025-12-01,5093726.1914639305,3657816.45991431,6514651.256066714
2026-01-01,5112935.097846214,3673354.838480088,6522544.232545125
2026-02-01,5130285.077804405,3697049.0351789123,6541260.398298024
2026-03-01,5149493.984186688,3609098.2490941365,6586545.310697555
2026-04-01,5168083.248427608,3759142.977612718,6589070.288910031
2026-05-01,5187292.154809891,3727728.749973411,6610959.03686825
2026-06-01,5205881.41905081,3919650.906930286,6636635.544177725
2026-07-01,5225090.325433093,3752824.875733118,6699870.912988084
2026-08-01,5244299.231815376,3877465.619728519,6618824.375217739
2026-09-01,5262888.496056296,3930623.4026380046,6828049.484508318
2026-10-01,5282097.402438578,3768795.5750469374,6735960.808047315
2026-11-01,5300686.666679498,3871333.8454933367,6623333.029749075
2026-12-01,5319895.57306178,4035344.6897838805,6761767.0996265495
2027-01-01,5339104.479444064,3881842.0345661705,6770217.683417286
2027-02-01,5356454.459402256,3979907.990033849,6815978.6081947815
2027-03-01,5375663.365784539,3972734.8386607645,6878512.926412615
2027-04-01,5394252.630025458,3994940.3015175704,6833211.782624388
2027-05-01,5413461.536407741,4051360.0694698654,6805869.125075538
2027-06-01,5432050.8006486595,4038265.733162143,6828199.844623428
