date,yhat,yhat_lower,yhat_upper
2023-10-01,4584390.331647604,3165459.6027295976,5977995.3081712425
2023-11-01,4603598.516520976,3303152.7632387285,5982242.213282365
2023-12-01,4622187.082354272,3231415.2367967707,6088623.515884927
2024-01-01,4641395.265769637,3185989.9587327447,6083105.149489579
2024-02-01,4660603.448319265,3195334.396020923,6096617.910550477
2024-03-01,4678572.3943813825,3290947.1260177256,6150945.514404133
2024-04-01,4697780.57689522,3213076.0664962945,6105015.95382364
2024-05-01,4716369.140931711,3255140.1868260507,6111321.817298141
2024-06-01,4735577.324065719,3317391.145192056,6191676.107122377
2024-07-01,4754165.889774225,3331345.1909269188,6048221.446998713
2024-08-01,4773374.075074676,3455914.9555878122,6271969.856147912
2024-09-01,4792582.261221125,3343541.6961351214,6202889.264273051
2024-10-01,4811170.827867925,3511165.491116487,6120700.534793248
2024-11-01,4830379.0128171835,3375632.354144547,6293589.215503897
2024-12-01,4848967.579138525,3394137.428616085,6251155.195932411
2025-01-01,4868176.452669041,3373096.471721216,6325678.516364241
2025-02-01,4887385.358389728,3484812.9174677897,6303948.784945727
2025-03-01,4904735.338347919,3497039.9936607503,6355764.672302889
2025-04-01,4923944.2447302025,3462062.06379516,6376414.632960433
2025-05-01,4942533.508971122,3601096.85511221,6317534.400976094
2025-06-01,4961742.415353405,3648790.427713352,6448693.900429143
2025-07-01,4980331.679594324,3578801.9536184026,6428019.352721744
2025-07-01,4998920.943835243,3612389.767349393,6479333.488053756
2025-08-01,5018129.850217526,3522303.7354796245,6479675.050939906
2025-09-01,5036719.114458446,3578112.9921706356,6488979.103386007
2025-10-01,5055928.020840729,3729442.8894575075,6475832.414948798
2025-11-01,5074517.285081648,3665795.4368129815,6484298.005547977
2025-12-01,5093726.1914639305,3670010.461496707,6412588.302904027
2026-01-01,5112935.097846214,3639024.1083810506,6454677.546178004
2026-02-01,5130285.077804405,3806195.72078946,6457007.74739098
2026-03-01,5149493.984186688,3747051.7571192067,6659987.889936326
2026-04-01,5168083.248427608,3785242.814206703,6616037.383440815
2026-05-01,5187292.154809891,3786182.2421938474,6584011.822587289
2026-06-01,5205881.41905081,3712658.141136417,6702321.714166498
2026-07-01,5225090.325433093,3697583.4808858256,6652234.791336009
2026-08-01,5244299.231815376,3820145.9187820386,6666830.146960268
2026-09-01,5262888.496056296,3880242.8171519497,6756085.353445854
2026-10-01,5282097.402438578,3959959.192093066,6717908.224884667
2026-11-01,5300686.666679498,3807010.250612351,6719752.259659858
2026-12-01,5319895.57306178,3901421.048738108,6817942.706680955
2027-01-01,5339104.479444064,3896854.602109978,6787412.498591096
2027-02-01,5356454.459402256,3845367.023789265,6810900.498561129
2027-03-01,5375663.365784539,3923523.7293680105,6861999.950355749
2027-04-01,5394252.630025458,3988407.5768173253,6879776.542908453
2027-05-01,5413461.536407741,4048449.546300833,6716902.528070052
2027-06-01,5432050.8006486595,3995187.1188964415,6856714.924500344
