ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6910.064841037807,8097.931357639417
2024-09-01,7592.625779355624,7022.170821273921,8147.118614448039
2024-10-01,7682.053603032967,7133.563794876548,8215.48767148201
2024-11-01,7774.462355511511,7233.611887120328,8374.979371951986
2024-12-01,7863.890180232032,7270.877311821944,8441.464784967691
2025-01-01,7956.2989335723805,7376.11840076956,8534.455718297311
2025-02-01,8048.707686247238,7464.930738676924,8595.748099190716
2025-03-01,8132.173779157734,7554.811789937046,8732.861155184974
2025-04-01,8224.582668072047,7640.919010110413,8824.37261724248
2025-05-01,8314.010625953375,7770.324873188025,8890.049494975303
2025-06-01,8406.41951576408,7843.300741898961,8933.60498719239
2025-07-01,8495.847473645408,7914.416537117014,9060.833893927249
2025-07-31,8585.275431526738,7994.247901972925,9142.110908645493
2025-08-31,8677.684321337443,8159.358318205396,9297.427577311266
2025-09-30,8767.11227921877,8192.527263484137,9319.139476035758
2025-10-31,8859.521169029476,8283.76067184617,9411.14788943194
2025-11-30,8948.949126910804,8450.33581292917,9517.898908105446
2025-12-31,9041.35801672151,8461.78384939731,9579.325107242328
2026-01-31,9133.766906532215,8593.873094437522,9672.809611050348
2026-02-28,9217.233000554788,8693.375226880524,9766.708146065735
2026-03-31,9309.641890365492,8734.203734647617,9919.225078353278
2026-04-30,9399.069848246821,8848.536308550614,9996.910223958666
2026-05-31,9491.478738057525,8874.372413270641,10077.741439458234
2026-06-30,9580.906695938855,9016.64298837575,10146.16854092331
2026-07-31,9673.315585749559,9135.876478310614,10247.14526006555
2026-08-31,9765.724475560266,9193.876789046622,10322.529417010011
2026-09-30,9855.152433441592,9290.701856738893,10446.785011618444
2026-10-31,9947.5613232523,9361.992271954443,10504.563257810629
2026-11-30,10036.989281133625,9471.555532320923,10631.126343796834
2026-12-31,10129.398170944332,9575.460840420617,10705.546052210328
2027-01-31,10221.807060755036,9660.940673328729,10795.54224679593
2027-02-28,10305.27315477761,9750.7617569489,10878.289370807264
2027-03-31,10397.682044588315,9847.828977256846,10949.578493378456
2027-04-30,10487.110002469642,9950.923522115558,11048.302697867357
2027-05-31,10579.518892280348,10002.355274025553,11121.17846865818
2027-06-30,10668.946850161676,10121.505933036722,11263.502583900212
