ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6938.2458771318925,8047.272267992111
2024-09-01,7592.625779355624,7057.7007484879705,8198.635976689873
2024-10-01,7682.053603032967,7106.996636745263,8258.718908544843
2024-11-01,7774.462355511511,7191.268492812173,8315.810568023102
2024-12-01,7863.890180232032,7308.695683676265,8429.398240698274
2025-01-01,7956.2989335723805,7376.189002029268,8521.901137855006
2025-02-01,8048.707686247238,7496.006479047294,8597.414646995474
2025-03-01,8132.173779157734,7596.23350389202,8672.106013745683
2025-04-01,8224.582668072047,7660.4715631019535,8798.842517269512
2025-05-01,8314.010625953375,7743.020805797033,8941.047370248654
2025-06-01,8406.41951576408,7849.114919196484,8978.929322902559
2025-07-01,8495.847473645408,7945.835562333949,9077.899543947786
2025-07-31,8585.275431526738,8043.743849348204,9166.29606401804
2025-08-31,8677.684321337443,8115.60957658648,9199.82998137749
2025-09-30,8767.11227921877,8222.92646124484,9342.85738362002
2025-10-31,8859.521169029476,8281.248110052558,9442.65313661243
2025-11-30,8948.949126910804,8410.157744526825,9501.134810298621
2025-12-31,9041.35801672151,8464.03638321286,9591.082902977992
2026-01-31,9133.766906532215,8578.332760703019,9671.766739110222
2026-02-28,9217.233000554788,8646.828690551009,9743.233538278626
2026-03-31,9309.641890365492,8733.017502212302,9885.872455798355
2026-04-30,9399.069848246821,8839.010940598077,9942.173844406361
2026-05-31,9491.478738057525,8910.280699757699,10066.191302695233
2026-06-30,9580.906695938855,9031.042256823008,10114.577645280831
2026-07-31,9673.315585749559,9083.5738848201,10257.468551205602
2026-08-31,9765.724475560266,9221.968695897058,10356.708076643903
2026-09-30,9855.152433441592,9288.198109482537,10456.748549970514
2026-10-31,9947.5613232523,9412.42270042746,10515.165031052235
2026-11-30,10036.989281133625,9475.312854838136,10638.504142188545
2026-12-31,10129.398170944332,9560.771471133077,10730.62405365724
2027-01-31,10221.807060755036,9655.074671982984,10812.38082258431
2027-02-28,10305.27315477761,9744.423046921886,10913.824499512726
2027-03-31,10397.682044588315,9835.331366602935,10953.65050432489
2027-04-30,10487.110002469642,9902.741021358273,11034.47489409947
2027-05-31,10579.518892280348,10029.98343109251,11159.287570997072
2027-06-30,10668.946850161676,10115.900332833655,11230.017994460333
