ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6935.335042741649,8044.946121732504
2024-09-01,7592.625779355624,7005.139828916698,8164.776071296707
2024-10-01,7682.053603032967,7083.272882109122,8182.18146428695
2024-11-01,7774.462355511511,7238.951726556299,8311.926107917088
2024-12-01,7863.890180232032,7311.465620281976,8419.349798097557
2025-01-01,7956.2989335723805,7351.063775825811,8519.924923633384
2025-02-01,8048.707686247238,7467.895645758734,8623.40799521016
2025-03-01,8132.173779157734,7566.014295626327,8721.439932864627
2025-04-01,8224.582668072047,7671.157312775173,8778.266362361988
2025-05-01,8314.010625953375,7780.280536011742,8872.564706787793
2025-06-01,8406.41951576408,7848.643548541264,8968.58586046383
2025-07-01,8495.847473645408,7940.408245129299,9109.485005512788
2025-07-31,8585.275431526738,8029.722328609351,9151.779490041336
2025-08-31,8677.684321337443,8103.15899384404,9256.115898567565
2025-09-30,8767.11227921877,8221.024171455845,9374.891074947522
2025-10-31,8859.521169029476,8317.850258679511,9428.212321071565
2025-11-30,8948.949126910804,8360.564843847016,9505.683006813035
2025-12-31,9041.35801672151,8476.134256140784,9633.570438511992
2026-01-31,9133.766906532215,8540.117050094748,9724.510495198867
2026-02-28,9217.233000554788,8704.699889160534,9850.326537622206
2026-03-31,9309.641890365492,8730.778461684287,9846.711638243625
2026-04-30,9399.069848246821,8802.675839002364,9966.57857847302
2026-05-31,9491.478738057525,8906.256531691983,10063.396110661053
2026-06-30,9580.906695938855,9011.336709919467,10158.1153109074
2026-07-31,9673.315585749559,9058.212380398674,10225.54522190175
2026-08-31,9765.724475560266,9188.87995495511,10317.290781179763
2026-09-30,9855.152433441592,9265.544808929362,10425.457993862063
2026-10-31,9947.5613232523,9411.147423518081,10503.112687048932
2026-11-30,10036.989281133625,9470.303732067068,10602.226185400166
2026-12-31,10129.398170944332,9599.655900296353,10707.501844280972
2027-01-31,10221.807060755036,9606.268632715453,10826.175406795752
2027-02-28,10305.27315477761,9734.132115774986,10882.978527771324
2027-03-31,10397.682044588315,9832.028396901993,10973.21819398117
2027-04-30,10487.110002469642,9926.2699115346,11067.593944070148
2027-05-31,10579.518892280348,9977.36988997946,11170.888171843455
2027-06-30,10668.946850161676,10129.449398371307,11223.25496530325
