ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6922.440860145387,8083.914276560824
2024-09-01,7592.625779355624,7034.542808296233,8149.402418360656
2024-10-01,7682.053603032967,7075.699109707139,8211.940174425783
2024-11-01,7774.462355511511,7185.9918230499525,8342.483981425254
2024-12-01,7863.890180232032,7279.4810650822255,8387.593603023664
2025-01-01,7956.2989335723805,7385.861197340543,8534.352340600346
2025-02-01,8048.707686247238,7448.584366881522,8620.301913627074
2025-03-01,8132.173779157734,7545.742335484964,8710.829678818003
2025-04-01,8224.582668072047,7649.508332355721,8765.844108662248
2025-05-01,8314.010625953375,7694.248589579563,8889.783489035315
2025-06-01,8406.41951576408,7863.578320134292,8953.942752757368
2025-07-01,8495.847473645408,7946.098782522539,9078.270926878522
2025-07-31,8585.275431526738,8046.1936523124805,9160.148737842057
2025-08-31,8677.684321337443,8107.38291941651,9234.628134633875
2025-09-30,8767.11227921877,8186.058019369403,9301.253091638613
2025-10-31,8859.521169029476,8247.907149304512,9409.576224602688
2025-11-30,8948.949126910804,8353.686768301592,9518.53905588591
2025-12-31,9041.35801672151,8483.608708022182,9618.080565581053
2026-01-31,9133.766906532215,8574.973136717612,9751.531548990642
2026-02-28,9217.233000554788,8632.484803167037,9825.57357522886
2026-03-31,9309.641890365492,8752.693182004909,9893.876963843915
2026-04-30,9399.069848246821,8847.077047188794,9923.238769605656
2026-05-31,9491.478738057525,8870.085461191662,10059.169262494139
2026-06-30,9580.906695938855,9022.352635963001,10158.296955223488
2026-07-31,9673.315585749559,9095.98629808639,10259.049783645582
2026-08-31,9765.724475560266,9199.5311807621,10365.729148766306
2026-09-30,9855.152433441592,9312.701186208456,10386.865583063842
2026-10-31,9947.5613232523,9374.793213379715,10533.417954766433
2026-11-30,10036.989281133625,9451.071709646969,10580.196000136755
2026-12-31,10129.398170944332,9550.865263964448,10703.382933406361
2027-01-31,10221.807060755036,9659.162587470293,10798.00762997518
2027-02-28,10305.27315477761,9768.619471458424,10864.96005444491
2027-03-31,10397.682044588315,9828.66496687068,10928.017307268607
2027-04-30,10487.110002469642,9904.156819838357,11072.964193324613
2027-05-31,10579.518892280348,9985.877368190893,11132.836760610226
2027-06-30,10668.946850161676,10131.249628602283,11275.374549528604
