ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6918.230700659947,8030.759977182946
2024-09-01,7592.625779355624,7056.751492977024,8179.990534287355
2024-10-01,7682.053603032967,7122.698092418268,8218.86292053566
2024-11-01,7774.462355511511,7178.995062462803,8324.904438569192
2024-12-01,7863.890180232032,7292.368777982696,8423.67518636923
2025-01-01,7956.2989335723805,7391.657895185453,8550.122260725258
2025-02-01,8048.707686247238,7462.579177170622,8575.58449361757
2025-03-01,8132.173779157734,7556.488229100838,8699.449474236417
2025-04-01,8224.582668072047,7622.003186169894,8787.202426035316
2025-05-01,8314.010625953375,7781.9323450420015,8857.901460140341
2025-06-01,8406.41951576408,7830.229668022381,8966.205409129385
2025-07-01,8495.847473645408,7957.620215556783,9079.851604758633
2025-07-31,8585.275431526738,8049.474469390814,9145.616154939142
2025-08-31,8677.684321337443,8077.781975366696,9229.373382890462
2025-09-30,8767.11227921877,8202.028330798481,9349.522214189266
2025-10-31,8859.521169029476,8285.290981849816,9466.535020682111
2025-11-30,8948.949126910804,8424.415260253212,9501.223585094498
2025-12-31,9041.35801672151,8461.992134226208,9570.51774263174
2026-01-31,9133.766906532215,8574.472568732364,9725.925668175203
2026-02-28,9217.233000554788,8647.858367261935,9773.619559590945
2026-03-31,9309.641890365492,8716.226013662223,9872.528619566127
2026-04-30,9399.069848246821,8845.590551279,9965.797284529608
2026-05-31,9491.478738057525,8901.780657402782,10068.941917761244
2026-06-30,9580.906695938855,9028.92430336897,10125.423033863959
2026-07-31,9673.315585749559,9080.318138310558,10217.329847162107
2026-08-31,9765.724475560266,9216.970847833983,10345.35149043528
2026-09-30,9855.152433441592,9292.164822904282,10434.42643656329
2026-10-31,9947.5613232523,9360.42297593856,10512.602451155457
2026-11-30,10036.989281133625,9456.690130929948,10599.015991710841
2026-12-31,10129.398170944332,9555.01960606185,10727.056625082885
2027-01-31,10221.807060755036,9678.54950459944,10761.234105276242
2027-02-28,10305.27315477761,9753.039262267092,10940.463843456624
2027-03-31,10397.682044588315,9826.64512079115,10973.077777596762
2027-04-30,10487.110002469642,9924.196602799822,11091.076977647157
2027-05-31,10579.518892280348,10034.76993443095,11163.849795625596
2027-06-30,10668.946850161676,10122.102218506094,11256.730725021414
