ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6940.178070623539,8104.788182961742
2024-09-01,7592.625779355624,7060.513058849851,8143.561524862851
2024-10-01,7682.053603032967,7122.5147845429765,8244.124008793442
2024-11-01,7774.462355511511,7225.7305622355,8349.289743057514
2024-12-01,7863.890180232032,7323.056143235416,8422.140975952598
2025-01-01,7956.2989335723805,7432.4389853186685,8538.670195443852
2025-02-01,8048.707686247238,7527.257160874144,8613.8910918114
2025-03-01,8132.173779157734,7553.398236053571,8709.989918925441
2025-04-01,8224.582668072047,7680.624622780112,8793.488955291221
2025-05-01,8314.010625953375,7757.068207073507,8894.109007153607
2025-06-01,8406.41951576408,7802.498318584461,8952.308000881354
2025-07-01,8495.847473645408,7950.672965251815,9048.191098188805
2025-07-31,8585.275431526738,7990.05782000715,9142.04818572562
2025-08-31,8677.684321337443,8083.736418928506,9239.832580327695
2025-09-30,8767.11227921877,8207.068928932475,9322.292834299988
2025-10-31,8859.521169029476,8321.588003034309,9417.881187670862
2025-11-30,8948.949126910804,8436.816482815666,9502.853513129026
2025-12-31,9041.35801672151,8480.768577313273,9649.420800981354
2026-01-31,9133.766906532215,8550.091582770086,9683.416340724765
2026-02-28,9217.233000554788,8632.315548039856,9752.679522282955
2026-03-31,9309.641890365492,8797.941666134468,9870.846701579278
2026-04-30,9399.069848246821,8829.235072866031,9963.426462907662
2026-05-31,9491.478738057525,8897.759665523963,10092.984292389623
2026-06-30,9580.906695938855,9027.618174874733,10170.44637230297
2026-07-31,9673.315585749559,9131.120442762058,10281.686655576696
2026-08-31,9765.724475560266,9183.226394870935,10348.45456086133
2026-09-30,9855.152433441592,9271.793857005187,10369.939789162814
2026-10-31,9947.5613232523,9328.933971214397,10483.509395769319
2026-11-30,10036.989281133625,9446.155756654218,10589.254170973616
2026-12-31,10129.398170944332,9625.881450498537,10750.57675145183
2027-01-31,10221.807060755036,9678.211504459683,10773.467381136716
2027-02-28,10305.27315477761,9728.669895165593,10864.83742807946
2027-03-31,10397.682044588315,9848.233488631466,10965.076897559076
2027-04-30,10487.110002469642,9922.012817299808,11044.155824269854
2027-05-31,10579.518892280348,10027.30174640215,11148.551437279311
2027-06-30,10668.946850161676,10094.674944037739,11232.229479109255
