ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6976.811126119266,8081.598998929402
2024-09-01,7592.625779355624,7017.633036771793,8168.31254751801
2024-10-01,7682.053603032967,7151.375082763569,8248.700027746785
2024-11-01,7774.462355511511,7218.614403144798,8323.678770300452
2024-12-01,7863.890180232032,7294.479688720071,8402.377023325473
2025-01-01,7956.2989335723805,7422.270546371488,8564.165131995422
2025-02-01,8048.707686247238,7499.1138896628645,8640.115978198897
2025-03-01,8132.173779157734,7583.128244335918,8673.863182340334
2025-04-01,8224.582668072047,7622.953322822859,8821.946411849005
2025-05-01,8314.010625953375,7748.128508063867,8884.615473892649
2025-06-01,8406.41951576408,7844.4520198917735,8934.72664184552
2025-07-01,8495.847473645408,7903.5374273994785,9110.307006401723
2025-07-31,8585.275431526738,8035.137326231985,9173.734459007746
2025-08-31,8677.684321337443,8091.984246208834,9215.150075807842
2025-09-30,8767.11227921877,8180.624635451677,9312.749031154817
2025-10-31,8859.521169029476,8311.078160642732,9416.8590647508
2025-11-30,8948.949126910804,8339.807937883192,9500.59007865275
2025-12-31,9041.35801672151,8509.160985740651,9616.662619825092
2026-01-31,9133.766906532215,8587.482109316123,9697.811792394361
2026-02-28,9217.233000554788,8646.473699886456,9813.122334488085
2026-03-31,9309.641890365492,8741.95458375774,9898.537710707718
2026-04-30,9399.069848246821,8827.37556494594,9953.702264430618
2026-05-31,9491.478738057525,8905.253856917157,10026.703054482143
2026-06-30,9580.906695938855,8978.42673910938,10142.227508055716
2026-07-31,9673.315585749559,9134.012252488552,10220.410010545273
2026-08-31,9765.724475560266,9212.035151899872,10363.7677243598
2026-09-30,9855.152433441592,9302.087910059105,10371.937703348272
2026-10-31,9947.5613232523,9409.72771159621,10510.925864005143
2026-11-30,10036.989281133625,9472.862184475578,10636.185907302786
2026-12-31,10129.398170944332,9515.86160667358,10676.261949823245
2027-01-31,10221.807060755036,9645.768983706694,10782.183160812341
2027-02-28,10305.27315477761,9734.902997460129,10895.938245400774
2027-03-31,10397.682044588315,9828.94305299795,10961.067632414106
2027-04-30,10487.110002469642,9928.327227970209,11082.462920579464
2027-05-31,10579.518892280348,9998.228370538727,11107.506887277075
2027-06-30,10668.946850161676,10098.022364041555,11250.779329789428
