ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6908.509868155674,8063.697269506252
2024-09-01,7592.625779355624,7048.9265780207825,8122.865512724123
2024-10-01,7682.053603032967,7145.003865438897,8287.757401020954
2024-11-01,7774.462355511511,7183.281036983189,8380.46709340452
2024-12-01,7863.890180232032,7262.64171724778,8412.53282141851
2025-01-01,7956.2989335723805,7363.785014751605,8523.925961212297
2025-02-01,8048.707686247238,7462.036468628603,8643.597587060076
2025-03-01,8132.173779157734,7617.581663719862,8757.828371418083
2025-04-01,8224.582668072047,7654.842597370711,8790.69678590431
2025-05-01,8314.010625953375,7697.570479895624,8897.304450800159
2025-06-01,8406.41951576408,7861.036966950878,9014.321253510061
2025-07-01,8495.847473645408,7952.534094205549,9118.60045333186
2025-07-31,8585.275431526738,8013.931091902518,9154.619968627741
2025-08-31,8677.684321337443,8118.025413093838,9222.951160173792
2025-09-30,8767.11227921877,8205.455738345627,9334.45518304807
2025-10-31,8859.521169029476,8297.521880535094,9451.932755245849
2025-11-30,8948.949126910804,8382.134475354558,9521.633404645756
2025-12-31,9041.35801672151,8463.510362415489,9568.097930149463
2026-01-31,9133.766906532215,8618.51658220012,9725.974720936603
2026-02-28,9217.233000554788,8678.622869332134,9805.141577780889
2026-03-31,9309.641890365492,8780.788558553895,9869.637730330283
2026-04-30,9399.069848246821,8832.136410080366,9929.829917670624
2026-05-31,9491.478738057525,8960.656028780544,10041.377166974793
2026-06-30,9580.906695938855,8995.034080493479,10128.111246224938
2026-07-31,9673.315585749559,9069.165883781812,10200.59088358236
2026-08-31,9765.724475560266,9223.561962884318,10308.984936025643
2026-09-30,9855.152433441592,9283.784042348423,10405.529601122684
2026-10-31,9947.5613232523,9395.854954653638,10524.593866488649
2026-11-30,10036.989281133625,9496.210176078213,10662.306161001226
2026-12-31,10129.398170944332,9530.08203282702,10667.323103505829
2027-01-31,10221.807060755036,9650.515346765427,10788.890143908959
2027-02-28,10305.27315477761,9726.42714207034,10849.861778238619
2027-03-31,10397.682044588315,9848.537687920498,10965.191837649636
2027-04-30,10487.110002469642,9941.495690004169,11008.298851435273
2027-05-31,10579.518892280348,10000.750585338823,11126.448970627309
2027-06-30,10668.946850161676,10117.95467466489,11204.881242223179
