ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6943.9521583924825,8049.901032228774
2024-09-01,7592.625779355624,7002.679838169822,8146.0990063709905
2024-10-01,7682.053603032967,7128.868286760441,8272.862512399786
2024-11-01,7774.462355511511,7198.835612293899,8352.348938179217
2024-12-01,7863.890180232032,7274.596446365946,8425.27616474422
2025-01-01,7956.2989335723805,7401.422098546985,8551.833609410314
2025-02-01,8048.707686247238,7521.564428326609,8569.257884234634
2025-03-01,8132.173779157734,7543.350750538341,8729.48001243849
2025-04-01,8224.582668072047,7663.69285496655,8790.720796246334
2025-05-01,8314.010625953375,7819.261537723393,8825.98428598742
2025-06-01,8406.41951576408,7844.906636262195,8992.79744101863
2025-07-01,8495.847473645408,7918.921179925022,9052.340104322657
2025-07-31,8585.275431526738,8019.12296370235,9127.56038744554
2025-08-31,8677.684321337443,8141.303424944233,9286.333457925277
2025-09-30,8767.11227921877,8234.90535196869,9338.092825437616
2025-10-31,8859.521169029476,8296.831953698198,9425.954203224039
2025-11-30,8948.949126910804,8370.322605264782,9460.893336002953
2025-12-31,9041.35801672151,8440.196465984998,9613.916115264159
2026-01-31,9133.766906532215,8606.586719494351,9735.941580278128
2026-02-28,9217.233000554788,8647.007575684916,9815.123091135785
2026-03-31,9309.641890365492,8775.119746500812,9865.959117068589
2026-04-30,9399.069848246821,8866.19895946208,9959.81540106149
2026-05-31,9491.478738057525,8866.573271031513,10088.412762992715
2026-06-30,9580.906695938855,9029.617665193415,10167.950741571172
2026-07-31,9673.315585749559,9081.80976457154,10230.639404594107
2026-08-31,9765.724475560266,9221.172300768085,10299.492025176449
2026-09-30,9855.152433441592,9268.639134072391,10415.140553395511
2026-10-31,9947.5613232523,9372.088969185754,10537.244245916829
2026-11-30,10036.989281133625,9473.553014663266,10647.147214570292
2026-12-31,10129.398170944332,9560.00100597052,10707.663193814727
2027-01-31,10221.807060755036,9670.560272617973,10804.523000867797
2027-02-28,10305.27315477761,9745.547703864038,10832.855542640898
2027-03-31,10397.682044588315,9812.385096425047,10952.70952361198
2027-04-30,10487.110002469642,9926.815146990142,11101.711030005066
2027-05-31,10579.518892280348,10041.880397785568,11147.348195946066
2027-06-30,10668.946850161676,10075.352090435865,11286.218351741949
