ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6954.68629016885,8064.581306825284
2024-09-01,7592.625779355624,7009.116265547329,8171.430500008354
2024-10-01,7682.053603032967,7088.108126724478,8224.336093692116
2024-11-01,7774.462355511511,7216.93252788975,8376.66230171084
2024-12-01,7863.890180232032,7270.999023885306,8426.673609286412
2025-01-01,7956.2989335723805,7335.259030517481,8529.46292227021
2025-02-01,8048.707686247238,7469.019185151324,8584.75126133142
2025-03-01,8132.173779157734,7583.777237944608,8674.647725603165
2025-04-01,8224.582668072047,7688.810002544246,8782.758563951971
2025-05-01,8314.010625953375,7725.488510229277,8920.274381401028
2025-06-01,8406.41951576408,7818.333646660168,8961.178654558595
2025-07-01,8495.847473645408,7894.532884057476,9046.136407641035
2025-07-31,8585.275431526738,8046.550290054412,9190.682513421942
2025-08-31,8677.684321337443,8131.0206379982965,9241.519350114499
2025-09-30,8767.11227921877,8255.401776452176,9348.402589252068
2025-10-31,8859.521169029476,8281.9834006965,9447.071329697645
2025-11-30,8948.949126910804,8361.33776455032,9516.401006251044
2025-12-31,9041.35801672151,8459.441512081365,9621.067575429435
2026-01-31,9133.766906532215,8528.848367264276,9704.448039822559
2026-02-28,9217.233000554788,8650.071287636034,9731.392795047046
2026-03-31,9309.641890365492,8781.248008859096,9865.55944136261
2026-04-30,9399.069848246821,8852.752654722988,9965.984055226238
2026-05-31,9491.478738057525,8959.237596870767,10062.388094345115
2026-06-30,9580.906695938855,9015.980587936172,10138.928634432428
2026-07-31,9673.315585749559,9060.339702799844,10201.032841484626
2026-08-31,9765.724475560266,9196.161668926658,10310.910735305275
2026-09-30,9855.152433441592,9317.03159988035,10436.682764186982
2026-10-31,9947.5613232523,9401.935221794169,10522.799639456713
2026-11-30,10036.989281133625,9449.41617033985,10598.835018549154
2026-12-31,10129.398170944332,9577.663236103403,10722.719048158602
2027-01-31,10221.807060755036,9595.723818653942,10763.269394437497
2027-02-28,10305.27315477761,9742.207126290323,10907.814176779984
2027-03-31,10397.682044588315,9798.796736548835,10953.807041333777
2027-04-30,10487.110002469642,9944.367790500914,11060.123268592097
2027-05-31,10579.518892280348,9996.438624310167,11113.141369941595
2027-06-30,10668.946850161676,10127.660360841865,11275.323364468295
