ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6951.220806012683,8056.5367988495
2024-09-01,7592.625779355624,7013.080722165064,8170.96805816092
2024-10-01,7682.053603032967,7105.936218461657,8213.553764136457
2024-11-01,7774.462355511511,7207.910292707685,8324.167974614735
2024-12-01,7863.890180232032,7303.036517125268,8413.409772417504
2025-01-01,7956.2989335723805,7394.915271953079,8552.916253468558
2025-02-01,8048.707686247238,7480.333341355521,8647.152491303248
2025-03-01,8132.173779157734,7556.385725012295,8742.80318477427
2025-04-01,8224.582668072047,7685.9501414268725,8749.230543617454
2025-05-01,8314.010625953375,7748.590174579172,8902.15894953378
2025-06-01,8406.41951576408,7833.931566484941,8950.640280866797
2025-07-01,8495.847473645408,7943.62524269179,9096.947604912493
2025-07-31,8585.275431526738,7999.491050132556,9125.191221956464
2025-08-31,8677.684321337443,8098.193173206904,9237.388091643015
2025-09-30,8767.11227921877,8155.152460290601,9341.97987088179
2025-10-31,8859.521169029476,8272.16488894582,9464.737332445146
2025-11-30,8948.949126910804,8390.438455304145,9451.965502150211
2025-12-31,9041.35801672151,8486.447448271136,9597.125536187941
2026-01-31,9133.766906532215,8588.28955329303,9685.019324563998
2026-02-28,9217.233000554788,8656.736452415833,9779.503561769023
2026-03-31,9309.641890365492,8725.752770632902,9856.705431595996
2026-04-30,9399.069848246821,8842.662568728121,9980.100100222486
2026-05-31,9491.478738057525,8888.382869634024,10050.16281031086
2026-06-30,9580.906695938855,9046.313070240125,10122.261959005315
2026-07-31,9673.315585749559,9100.950249412403,10244.391275476622
2026-08-31,9765.724475560266,9240.282132237595,10299.748950914345
2026-09-30,9855.152433441592,9266.746800389881,10400.545140196908
2026-10-31,9947.5613232523,9381.250067066518,10540.027731499653
2026-11-30,10036.989281133625,9489.967281856902,10592.47692401602
2026-12-31,10129.398170944332,9598.07029392666,10729.797099052867
2027-01-31,10221.807060755036,9720.032879896373,10809.01889702587
2027-02-28,10305.27315477761,9750.169960317224,10853.431440456357
2027-03-31,10397.682044588315,9818.240043265969,10970.35882473305
2027-04-30,10487.110002469642,9892.647321757553,11007.336103655161
2027-05-31,10579.518892280348,10039.840219979875,11145.036015697575
2027-06-30,10668.946850161676,10106.108217312349,11259.893836718482
