ds,yhat,yhat_lower,yhat_upper
2024-08-01,7500.217028684633,6913.341622854543,8090.995096299711
2024-09-01,7592.625779355624,7012.170477093283,8171.798731434074
2024-10-01,7682.053603032967,7129.711638246224,8242.040627429406
2024-11-01,7774.462355511511,7183.061438135825,8368.423852082597
2024-12-01,7863.890180232032,7267.7028822319035,8418.0826551843
2025-01-01,7956.2989335723805,7414.621304395909,8488.561804667472
2025-02-01,8048.707686247238,7489.373349067902,8642.727651925663
2025-03-01,8132.173779157734,7572.989517141965,8699.814696215499
2025-04-01,8224.582668072047,7682.345858311253,8787.961762273866
2025-05-01,8314.010625953375,7744.234497469506,8871.209533969524
2025-06-01,8406.41951576408,7845.855370440859,9025.610924039904
2025-07-01,8495.847473645408,7937.321727961597,9041.02552863455
2025-07-31,8585.275431526738,8024.246743903938,9128.613449830202
2025-08-31,8677.684321337443,8128.1508447387205,9240.110283952326
2025-09-30,8767.11227921877,8194.834019602686,9322.38253202119
2025-10-31,8859.521169029476,8272.516827246061,9378.3234327109
2025-11-30,8948.949126910804,8406.313844714761,9474.009524329764
2025-12-31,9041.35801672151,8458.499732406828,9618.229654606212
2026-01-31,9133.766906532215,8583.10967758398,9698.396557030848
2026-02-28,9217.233000554788,8627.870316929577,9797.742955820184
2026-03-31,9309.641890365492,8731.00895014111,9915.02946951137
2026-04-30,9399.069848246821,8823.945210971138,9951.803641948425
2026-05-31,9491.478738057525,8970.451449161581,10103.358312903116
2026-06-30,9580.906695938855,9039.25502649871,10174.489335165861
2026-07-31,9673.315585749559,9138.90999775232,10254.720349369514
2026-08-31,9765.724475560266,9182.471777096267,10329.19269348221
2026-09-30,9855.152433441592,9256.567210737114,10374.056834317811
2026-10-31,9947.5613232523,9367.266781529068,10477.06814666959
2026-11-30,10036.989281133625,9469.301823117039,10546.294670315458
2026-12-31,10129.398170944332,9569.32463490708,10707.594153274205
2027-01-31,10221.807060755036,9647.42004138597,10800.419087107624
2027-02-28,10305.27315477761,9718.715694718292,10879.520319219233
2027-03-31,10397.682044588315,9808.553729592017,10957.468258949939
2027-04-30,10487.110002469642,9922.081816894646,11087.539568896076
2027-05-31,10579.518892280348,9976.1644009813,11082.997907225426
2027-06-30,10668.946850161676,10093.120914584,11180.120483740911
