iter	Passed	Remaining
0	1	1604
1	2	1222
2	3	1009
3	3	952
4	4	893
5	5	865
6	5	848
7	6	835
8	7	844
9	8	832
10	8	801
11	9	797
12	10	788
13	11	784
14	11	780
15	12	781
16	13	775
17	14	769
18	14	764
19	15	767
20	16	765
21	17	759
22	17	754
23	18	749
24	19	744
25	20	749
26	20	746
27	21	742
28	22	741
29	22	740
30	23	740
31	24	737
32	24	732
33	25	730
34	26	730
35	27	730
36	28	728
37	28	725
38	29	723
39	30	721
40	30	720
41	31	718
42	32	715
43	32	713
44	33	711
45	34	709
46	34	708
47	35	702
48	35	697
49	36	691
50	37	690
51	37	691
52	38	691
53	39	688
54	40	690
55	40	687
56	41	686
57	42	689
58	43	689
59	43	687
60	44	687
61	45	686
62	45	684
63	46	683
64	47	681
65	48	681
66	48	680
67	49	679
68	50	678
69	51	678
70	51	677
71	52	676
72	53	675
73	53	674
74	54	671
75	54	668
76	55	666
77	56	666
78	57	667
79	57	665
80	58	666
81	59	665
82	60	665
83	61	665
84	62	668
85	62	667
86	63	666
87	64	664
88	65	665
89	65	664
90	66	663
91	67	663
92	67	662
93	68	662
94	69	661
95	70	661
96	70	660
97	71	658
98	72	658
99	73	657
100	73	656
101	74	655
102	75	654
103	75	653
104	76	649
105	76	648
106	77	647
107	78	647
108	79	646
109	79	645
110	80	646
111	81	645
112	81	643
113	82	642
114	83	641
115	84	640
116	85	645
117	86	644
118	86	642
119	87	641
120	88	640
121	88	639
122	89	638
123	90	642
124	91	640
125	92	639
126	92	638
127	93	637
128	94	638
129	95	637
130	95	636
131	96	635
132	97	635
133	98	634
134	98	633
135	99	633
136	100	632
137	101	631
138	101	630
139	102	629
140	103	628
141	103	627
142	104	626
143	105	625
144	105	624
145	106	623
146	107	622
147	107	621
148	108	620
149	109	619
150	110	620
151	111	619
152	111	619
153	112	618
154	113	618
155	114	621
156	115	619
157	116	618
158	116	617
159	117	616
160	117	614
161	118	614
162	119	612
163	119	610
164	120	609
165	121	608
166	122	609
167	123	612
168	124	611
169	125	611
170	125	610
171	126	609
172	127	607
173	127	607
174	128	605
175	129	605
176	130	604
177	130	604
178	131	603
179	132	602
180	133	601
181	133	601
182	134	601
183	135	599
184	136	599
185	136	598
186	137	597
187	138	596
188	138	595
189	139	594
190	140	594
191	140	593
192	141	592
193	142	591
194	142	590
195	143	589
196	144	589
197	145	588
198	146	588
199	146	586
200	147	585
201	148	584
202	148	584
203	149	583
204	150	582
205	151	584
206	152	583
207	152	582
208	153	581
209	154	581
210	155	580
211	156	582
212	157	581
213	158	580
214	158	579
215	159	578
216	160	578
217	161	577
218	161	576
219	163	578
220	163	577
221	164	576
222	165	576
223	166	575
224	166	574
225	167	573
226	168	572
227	168	571
228	169	570
229	170	569
230	170	568
231	171	566
232	171	565
233	172	565
234	173	564
235	174	563
236	174	562
237	175	562
238	176	563
239	177	562
240	178	561
241	178	560
242	179	559
243	180	558
244	180	557
245	181	556
246	182	556
247	183	555
248	184	555
249	185	555
250	185	554
251	186	553
252	187	552
253	188	552
254	188	551
255	189	550
256	190	549
257	191	549
258	191	548
259	192	547
260	193	546
261	193	545
262	194	545
263	195	544
264	196	543
265	196	543
266	197	542
267	198	541
268	199	540
269	199	539
270	200	538
271	200	537
272	201	536
273	202	535
274	203	535
275	203	534
276	204	534
277	205	533
278	206	532
279	206	531
280	207	530
281	208	529
282	208	529
283	209	528
284	210	528
285	211	528
286	212	527
287	213	526
288	213	525
289	214	525
290	215	524
291	216	525
292	217	525
293	218	524
294	219	523
295	219	523
296	220	522
297	221	521
298	222	521
299	222	519
300	223	519
301	224	519
302	225	518
303	226	517
304	226	517
305	227	516
306	228	515
307	228	514
308	229	513
309	230	512
310	230	511
311	231	510
312	232	509
313	232	508
314	233	508
315	234	507
316	235	506
317	236	506
318	237	506
319	237	505
320	238	504
321	239	504
322	240	503
323	240	502
324	241	501
325	242	500
326	243	500
327	243	499
328	244	498
329	244	497
330	245	496
331	246	496
332	247	496
333	248	496
334	249	495
335	250	494
336	251	493
337	252	494
338	253	493
339	254	493
340	254	492
341	255	491
342	256	490
343	256	489
344	257	488
345	258	488
346	259	488
347	260	487
348	261	486
349	261	486
350	262	485
351	263	484
352	263	483
353	264	482
354	265	482
355	266	481
356	267	482
357	268	481
358	268	480
359	269	479
360	270	478
361	270	477
362	271	476
363	272	475
364	272	474
365	273	474
366	274	473
367	275	472
368	275	471
369	276	470
370	277	470
371	278	469
372	278	468
373	279	468
374	281	468
375	281	467
376	282	466
377	283	466
378	284	465
379	284	464
380	285	464
381	286	463
382	287	463
383	288	462
384	288	461
385	289	460
386	290	459
387	291	459
388	291	458
389	292	457
390	293	456
391	293	455
392	294	455
393	295	454
394	295	453
395	296	452
396	297	451
397	298	450
398	298	449
399	299	449
400	300	448
401	301	447
402	301	447
403	302	446
404	303	445
405	303	444
406	304	444
407	305	443
408	306	442
409	306	441
410	307	441
411	308	440
412	309	439
413	310	438
414	310	438
415	311	437
416	312	436
417	312	435
418	313	435
419	314	434
420	315	434
421	316	433
422	317	432
423	317	431
424	318	430
425	319	430
426	319	429
427	320	428
428	321	427
429	321	426
430	322	426
431	323	425
432	324	424
433	324	423
434	325	422
435	326	421
436	328	422
437	328	421
438	329	421
439	330	420
440	330	419
441	331	418
442	332	417
443	333	417
444	333	416
445	334	415
446	335	414
447	336	414
448	337	413
449	337	412
450	338	411
451	339	411
452	339	410
453	340	409
454	341	408
455	341	407
456	342	406
457	343	406
458	344	405
459	344	404
460	345	403
461	346	403
462	346	402
463	347	401
464	348	400
465	349	399
466	349	399
467	350	398
468	351	397
469	351	396
470	352	396
471	353	395
472	354	394
473	355	393
474	355	393
475	356	392
476	357	391
477	358	391
478	359	390
479	359	389
480	360	389
481	361	388
482	362	387
483	362	386
484	363	386
485	364	385
486	365	384
487	365	383
488	366	383
489	367	382
490	368	381
491	368	380
492	369	380
493	370	379
494	371	378
495	371	377
496	372	376
497	373	376
498	373	375
499	374	374
500	375	373
501	376	373
502	376	372
503	377	371
504	378	370
505	379	370
506	380	369
507	381	369
508	381	368
509	382	367
510	383	366
511	384	366
512	384	365
513	385	364
514	386	363
515	386	362
516	387	361
517	388	361
518	389	360
519	389	359
520	390	358
521	391	358
522	391	357
523	392	356
524	393	355
525	393	354
526	394	354
527	395	353
528	395	352
529	396	351
530	397	350
531	397	350
532	398	349
533	399	348
534	400	347
535	400	347
536	401	346
537	402	345
538	403	345
539	404	344
540	405	344
541	406	343
542	407	342
543	407	341
544	408	341
545	409	340
546	409	339
547	410	338
548	411	337
549	411	336
550	412	336
551	413	335
552	413	334
553	414	333
554	415	333
555	416	332
556	416	331
557	417	330
558	418	329
559	419	329
560	419	328
561	420	327
562	421	327
563	422	326
564	422	325
565	423	324
566	424	324
567	424	323
568	425	322
569	426	321
570	427	320
571	427	320
572	428	319
573	429	318
574	429	317
575	430	316
576	430	315
577	431	314
578	432	314
579	432	313
580	433	312
581	433	311
582	434	310
583	435	309
584	435	309
585	436	308
586	437	307
587	438	307
588	439	306
589	439	305
590	440	304
591	441	304
592	442	303
593	443	302
594	443	302
595	444	301
596	445	300
597	446	299
598	446	299
599	447	298
600	448	297
601	448	296
602	449	295
603	450	295
604	451	294
605	451	293
606	452	292
607	453	292
608	454	291
609	455	291
610	456	290
611	457	289
612	457	289
613	458	288
614	459	287
615	460	286
616	460	286
617	461	285
618	462	284
619	462	283
620	463	283
621	464	282
622	465	281
623	465	280
624	466	279
625	467	279
626	467	278
627	468	277
628	469	276
629	470	276
630	471	275
631	471	274
632	472	273
633	472	272
634	473	272
635	474	271
636	474	270
637	475	270
638	476	269
639	477	268
640	479	268
641	479	267
642	480	266
643	481	266
644	481	265
645	482	264
646	483	263
647	483	262
648	484	262
649	485	261
650	485	260
651	486	259
652	487	258
653	487	258
654	488	257
655	488	256
656	489	255
657	490	254
658	490	254
659	492	253
660	492	252
661	493	252
662	494	251
663	495	250
664	495	249
665	496	249
666	497	248
667	497	247
668	498	246
669	499	245
670	499	245
671	500	244
672	501	243
673	502	242
674	503	242
675	504	241
676	505	240
677	505	240
678	506	239
679	507	238
680	507	237
681	508	237
682	509	236
683	510	235
684	510	234
685	511	234
686	512	233
687	512	232
688	513	231
689	514	231
690	515	230
691	515	229
692	516	228
693	517	228
694	517	227
695	518	226
696	519	225
697	519	224
698	520	224
699	521	223
700	522	222
701	523	222
702	524	221
703	524	220
704	525	219
705	525	219
706	526	218
707	527	217
708	528	216
709	528	216
710	529	215
711	530	214
712	531	213
713	531	213
714	532	212
715	533	211
716	534	210
717	534	209
718	535	209
719	536	208
720	537	207
721	537	207
722	538	206
723	539	205
724	539	204
725	540	204
726	541	203
727	541	202
728	542	201
729	543	200
730	543	200
731	544	199
732	545	198
733	546	197
734	546	197
735	547	196
736	548	195
737	548	194
738	549	194
739	550	193
740	551	192
741	552	191
742	552	191
743	553	190
744	553	189
745	554	188
746	555	188
747	556	187
748	556	186
749	557	185
750	558	185
751	559	184
752	559	183
753	560	182
754	561	182
755	562	181
756	562	180
757	563	179
758	564	179
759	564	178
760	565	177
761	566	176
762	566	176
763	567	175
764	568	174
765	569	173
766	569	173
767	570	172
768	571	171
769	572	170
770	572	170
771	573	169
772	574	168
773	574	167
774	575	167
775	576	166
776	576	165
777	577	164
778	577	163
779	578	163
780	579	162
781	580	161
782	580	160
783	581	160
784	582	159
785	582	158
786	583	157
787	584	157
788	584	156
789	585	155
790	586	154
791	586	154
792	587	153
793	588	152
794	589	151
795	589	151
796	590	150
797	591	149
798	591	148
799	592	148
800	593	147
801	593	146
802	594	145
803	595	145
804	596	144
805	596	143
806	597	142
807	598	142
808	599	141
809	599	140
810	600	139
811	601	139
812	602	138
813	602	137
814	603	137
815	604	136
816	604	135
817	605	134
818	606	133
819	606	133
820	608	132
821	608	131
822	609	131
823	610	130
824	611	129
825	612	128
826	613	128
827	613	127
828	614	126
829	615	126
830	615	125
831	616	124
832	617	123
833	617	122
834	618	122
835	619	121
836	619	120
837	620	119
838	621	119
839	622	118
840	622	117
841	623	116
842	624	116
843	624	115
844	625	114
845	626	113
846	626	113
847	628	112
848	629	111
849	630	111
850	631	110
851	631	109
852	632	109
853	633	108
854	634	107
855	634	106
856	635	106
857	636	105
858	636	104
859	637	103
860	638	103
861	638	102
862	639	101
863	640	100
864	640	100
865	641	99
866	642	98
867	642	97
868	643	97
869	644	96
870	645	95
871	645	94
872	646	94
873	647	93
874	647	92
875	648	91
876	648	91
877	649	90
878	650	89
879	651	88
880	651	88
881	652	87
882	653	86
883	654	85
884	655	85
885	656	84
886	657	83
887	657	82
888	658	82
889	659	81
890	660	80
891	661	80
892	662	79
893	662	78
894	663	77
895	663	77
896	664	76
897	665	75
898	665	74
899	666	74
900	666	73
901	667	72
902	668	71
903	668	71
904	669	70
905	670	69
906	670	68
907	671	68
908	671	67
909	672	66
910	673	65
911	673	65
912	674	64
913	675	63
914	675	62
915	676	62
916	676	61
917	677	60
918	678	59
919	678	59
920	679	58
921	680	57
922	680	56
923	681	56
924	681	55
925	682	54
926	682	53
927	683	53
928	684	52
929	684	51
930	685	50
931	686	50
932	686	49
933	687	48
934	688	47
935	688	47
936	689	46
937	689	45
938	690	44
939	690	44
940	691	43
941	692	42
942	692	41
943	693	41
944	694	40
945	694	39
946	695	38
947	696	38
948	696	37
949	697	36
950	697	35
951	698	35
952	699	34
953	700	33
954	700	33
955	701	32
956	702	31
957	702	30
958	703	30
959	704	29
960	704	28
961	705	27
962	706	27
963	706	26
964	707	25
965	708	24
966	708	24
967	709	23
968	710	22
969	710	21
970	711	21
971	711	20
972	712	19
973	712	19
974	713	18
975	713	17
976	714	16
977	715	16
978	715	15
979	716	14
980	717	13
981	717	13
982	718	12
983	718	11
984	719	10
985	719	10
986	720	9
987	721	8
988	721	8
989	722	7
990	723	6
991	723	5
992	724	5
993	725	4
994	725	3
995	726	2
996	727	2
997	727	1
998	729	0
999	729	0
