date,yhat,yhat_lower,yhat_upper
2024-08-01,4.259434163715855e-05,1.3807301169708323e-05,7.282269874002367e-05
2024-09-01,3.750941676643562e-05,7.192096460598556e-06,6.694309417103536e-05
2024-10-01,3.25885217376303e-05,-1.384795623138797e-07,6.108197781426878e-05
2024-11-01,2.7503596879451694e-05,-2.304270356408076e-06,5.7506128557827505e-05
2024-12-01,2.2582701867730112e-05,-7.2595250314085235e-06,5.29343902073722e-05
2025-01-01,1.7497777022305516e-05,-1.3042967541266208e-05,4.4746669815307516e-05
2025-02-01,1.2412852167217377e-05,-1.6685049704182526e-05,4.019667954156123e-05
2025-03-01,7.820016826287752e-06,-2.0979050783674968e-05,3.662591193035072e-05
2025-04-01,2.7350919971831924e-06,-2.728993522400874e-05,3.128259685115891e-05
2025-05-01,-2.1858029959560277e-06,-3.185790168002853e-05,2.8118066005630094e-05
2025-06-01,-7.270727822199887e-06,-3.614347703349914e-05,2.029207503143798e-05
2025-07-01,-1.2191622815339113e-05,-4.0314545126767606e-05,1.8235875383483993e-05
2025-07-31,-1.7112517808478327e-05,-4.505650447782533e-05,1.1734607852884e-05
2025-08-31,-2.2197442634722205e-05,-5.167959919887299e-05,8.544136716031237e-06
2025-09-30,-2.711833762786142e-05,-5.5551251220047956e-05,2.3171490627389135e-06
2025-10-31,-3.2203262454105286e-05,-6.188664477232953e-05,-1.425107374999639e-06
2025-11-30,-3.712415744724451e-05,-6.506131307421176e-05,-8.266936535398146e-06
2025-12-31,-4.2209082273488364e-05,-7.002417023625587e-05,-1.2874099228299415e-05
2026-01-31,-4.729400709973224e-05,-7.835266747557972e-05,-2.0975508379107117e-05
2026-02-28,-5.188684242666218e-05,-8.003726124612428e-05,-2.053894763535142e-05
2026-03-31,-5.697176725290603e-05,-8.688559481730296e-05,-2.8476413850562733e-05
2026-04-30,-6.189266224604527e-05,-9.134927858453734e-05,-3.26091251623142e-05
2026-05-31,-6.697758707228912e-05,-9.745307319053983e-05,-3.945099009273374e-05
2026-06-30,-7.189848206542834e-05,-0.00010151420346468021,-4.19664833450205e-05
2026-07-31,-7.69834068916722e-05,-0.0001054164557691249,-4.7861876674329784e-05
2026-08-31,-8.206833171791608e-05,-0.00011213080687400328,-5.42049069607546e-05
2026-09-30,-8.69892267110553e-05,-0.00011555334488137783,-5.77630430058842e-05
2026-10-31,-9.207415153729916e-05,-0.00012098990347256067,-6.20883446723723e-05
2026-11-30,-9.699504653043839e-05,-0.00012505369586455204,-6.641245397090182e-05
2026-12-31,-0.00010207997135668223,-0.0001330508553989207,-7.305372090630742e-05
2027-01-31,-0.0001071648961829261,-0.00013668018031789245,-7.804941030188874e-05
2027-02-28,-0.00011175773150985605,-0.00014281578314516075,-8.519170905674158e-05
2027-03-31,-0.00011684265633609991,-0.00014377855084662873,-8.772921874569316e-05
2027-04-30,-0.0001217635513292391,-0.0001492595788869768,-9.192959584797958e-05
2027-05-31,-0.000126848476155483,-0.000155411250764069,-9.923056059881975e-05
2027-06-30,-0.0001317693711486222,-0.00016133960499360598,-9.994445888819048e-05
