date,yhat,yhat_lower,yhat_upper
2024-08-01,2.5264689072e-10,-5.500022995901578e-11,5.774229810464915e-10
2024-09-01,2.2105111303221557e-10,-9.113777062804718e-11,5.212374365901678e-10
2024-10-01,1.9047455399304958e-10,-1.3407310755956046e-10,4.960712596097235e-10
2024-11-01,1.5887877633275893e-10,-1.5718094532057345e-10,4.615688691993314e-10
2024-12-01,1.283022173220169e-10,-1.5992055715024302e-10,4.5120427402302186e-10
2025-01-01,9.670643968492875e-11,-2.2749227304086065e-10,4.1145744754878147e-10
2025-02-01,6.511066204636266e-11,-2.580286337317313e-10,3.6666749810715476e-10
2025-03-01,3.6572540309978544e-11,-2.7229268172884077e-10,3.3935220140222846e-10
2025-04-01,4.976762684581969e-12,-3.1021793224366064e-10,3.1802592790758104e-10
2025-05-01,-2.559979631585103e-11,-3.5478160318043013e-10,2.836790436037608e-10
2025-06-01,-5.7195573949631794e-11,-3.664823718813297e-10,2.6517998347338927e-10
2025-07-01,-8.77721329500648e-11,-4.1814176142186846e-10,2.2774919910090802e-10
2025-07-31,-1.183486919504978e-10,-4.307024861610938e-10,2.0165927356616123e-10
2025-08-31,-1.4994446958427855e-10,-4.687753107788936e-10,1.7095437948665565e-10
2025-09-30,-1.8052102858471155e-10,-5.03039980742884e-10,1.2033213922060195e-10
2025-10-31,-2.1211680621849236e-10,-5.39346834894705e-10,1.1202999062125711e-10
2025-11-30,-2.426933652189253e-10,-5.811379237807195e-10,8.170683110655705e-11
2025-12-31,-2.742891428527061e-10,-5.963113362050743e-10,5.876791244676444e-11
2026-01-31,-3.058849204864868e-10,-6.296751680715503e-10,2.9675506538071753e-12
2026-02-28,-3.3442304222022433e-10,-6.292399759877882e-10,-2.920928399708996e-11
2026-03-31,-3.66018819854005e-10,-6.660140379416655e-10,-2.3161587801038783e-11
2026-04-30,-3.9659537885443804e-10,-6.892313713491346e-10,-8.216575708319662e-11
2026-05-31,-4.281911564882188e-10,-7.700645133466911e-10,-1.1581114611304642e-10
2026-06-30,-4.5876771548865174e-10,-7.677021694065638e-10,-1.412374485010227e-10
2026-07-31,-4.903634931224326e-10,-8.302399057267742e-10,-1.9972354411289305e-10
2026-08-31,-5.219592707562134e-10,-8.338795041837189e-10,-2.2782894939882463e-10
2026-09-30,-5.525358297566463e-10,-8.799434273553751e-10,-2.2631688108709274e-10
2026-10-31,-5.841316073904271e-10,-9.018108562669801e-10,-2.3996772287013426e-10
2026-11-30,-6.147081663908601e-10,-9.250585942444474e-10,-2.8912274769790484e-10
2026-12-31,-6.463039440246408e-10,-9.724253227122669e-10,-3.352678675921503e-10
2027-01-31,-6.778997216584216e-10,-9.946542520755643e-10,-3.4359243870588365e-10
2027-02-28,-7.064378433921592e-10,-1.0255407008807546e-09,-4.0037886521094106e-10
2027-03-31,-7.380336210259399e-10,-1.0599498666098847e-09,-4.2629897776663315e-10
2027-04-30,-7.686101800263728e-10,-1.0756691388037835e-09,-4.580940090038005e-10
2027-05-31,-8.002059576601536e-10,-1.1131043711766574e-09,-4.755341985328812e-10
2027-06-30,-8.307825166605866e-10,-1.1552931667510905e-09,-5.18531451022451e-10
