date,yhat,yhat_lower,yhat_upper
2024-08-01,-4.5727793744552997e-07,-1.0654670245313965e-06,9.90359712334315e-08
2024-09-01,-1.3243906519361708e-07,-7.471248484608025e-07,4.847188943955947e-07
2024-10-01,1.8192113349605718e-07,-4.4414266045350776e-07,7.782324899582082e-07
2024-11-01,5.067600054193648e-07,-5.833778118585953e-08,1.0795177513625976e-06
2024-12-01,8.211202039523527e-07,2.402770066139559e-07,1.3956621055142793e-06
2025-01-01,1.1459590757474274e-06,5.642034696167306e-07,1.7799450075247973e-06
2025-02-01,1.470797947371444e-06,8.699493389973209e-07,2.060557201371026e-06
2025-03-01,1.7642007994942257e-06,1.1851646835747123e-06,2.4121917381112093e-06
2025-04-01,2.089039671185577e-06,1.4618857434900587e-06,2.7002457899663015e-06
2025-05-01,2.4033998697084507e-06,1.8390222769679253e-06,2.9890780417052207e-06
2025-06-01,2.7282387415154206e-06,2.145226110830003e-06,3.3188751848395273e-06
2025-07-01,3.0425989400382946e-06,2.444641146554017e-06,3.6294914871967584e-06
2025-07-31,3.3569591385611682e-06,2.73844216059729e-06,3.951883981792762e-06
2025-08-31,3.6817980103681386e-06,3.0805579328287007e-06,4.285367297703121e-06
2025-09-30,3.9961582088910126e-06,3.3900757673424468e-06,4.6171559024147e-06
2025-10-31,4.3209970806979825e-06,3.717930297393182e-06,4.924195840985458e-06
2025-11-30,4.6353572792208565e-06,4.08557456069041e-06,5.229628249124437e-06
2025-12-31,4.9601961510278255e-06,4.348756706365971e-06,5.559330955124351e-06
2026-01-31,5.285035022834796e-06,4.703826100589799e-06,5.89725335263237e-06
2026-02-28,5.578437874789478e-06,4.9933282503588945e-06,6.174056099161303e-06
2026-03-31,5.903276746596448e-06,5.2962416217967026e-06,6.476920344414892e-06
2026-04-30,6.217636945119321e-06,5.625724155713401e-06,6.805143630771164e-06
2026-05-31,6.542475816926291e-06,5.940360032067302e-06,7.151043660509073e-06
2026-06-30,6.856836015449164e-06,6.260618974403551e-06,7.452345941899624e-06
2026-07-31,7.181674887256134e-06,6.566188298556599e-06,7.780340151606958e-06
2026-08-31,7.506513759063105e-06,6.93961940795486e-06,8.09562107045858e-06
2026-09-30,7.82087395758598e-06,7.24004663929104e-06,8.39149192717546e-06
2026-10-31,8.145712829392948e-06,7.520226250957469e-06,8.717471465108376e-06
2026-11-30,8.460073027915822e-06,7.906457083844309e-06,9.004102333633902e-06
2026-12-31,8.78491189972279e-06,8.146791664277197e-06,9.333992238335319e-06
2027-01-31,9.109750771529762e-06,8.541316412461531e-06,9.70620659137308e-06
2027-02-28,9.403153623484444e-06,8.825998737855663e-06,9.98608595060231e-06
2027-03-31,9.727992495291413e-06,9.12178668710145e-06,1.0324491657038124e-05
2027-04-30,1.0042352693814287e-05,9.421747797906441e-06,1.06557440466297e-05
2027-05-31,1.0367191565621257e-05,9.753421819379603e-06,1.0902969951472198e-05
2027-06-30,1.068155176414413e-05,1.0095342493137111e-05,1.1265354081519706e-05
