date,yhat,yhat_lower,yhat_upper
2024-08-01,-1.9377268500040506e-07,-4.533502921239509e-07,4.20981946811311e-08
2024-09-01,-5.408109257605052e-08,-3.0299773507105404e-07,2.083498821298392e-07
2024-10-01,8.110431941453422e-08,-1.738816049372129e-07,3.670626771823546e-07
2024-11-01,2.2079591175218025e-07,-3.3889662840645875e-08,4.875227204831401e-07
2024-12-01,3.559813235432972e-07,9.395225843481646e-08,6.145573173547173e-07
2025-01-01,4.956729156409763e-07,2.2109309627746018e-07,7.376665946020736e-07
2025-02-01,6.35364507742826e-07,3.6255186003975035e-07,8.758030332833488e-07
2025-03-01,7.615375587784627e-07,5.031283951606964e-07,1.002007983299931e-06
2025-04-01,9.012291509225888e-07,6.26771134913004e-07,1.1611341900319193e-06
2025-05-01,1.036414562777621e-06,7.615836673954771e-07,1.2830951477956506e-06
2025-06-01,1.1761061550278208e-06,9.274481319942942e-07,1.4404608183871144e-06
2025-07-01,1.311291566882853e-06,1.0621053741616585e-06,1.5647217323233437e-06
2025-07-31,1.446476978737885e-06,1.1954761622072886e-06,1.700951418192844e-06
2025-08-31,1.5861685709880852e-06,1.3352642406157705e-06,1.8342583173761343e-06
2025-09-30,1.7213539828431172e-06,1.481561400885493e-06,1.9904683471325224e-06
2025-10-31,1.8610455750933173e-06,1.5956644227879074e-06,2.1160388889551154e-06
2025-11-30,1.9962309869483495e-06,1.7256203649438135e-06,2.2606417622328727e-06
2025-12-31,2.135922579198549e-06,1.878076216380595e-06,2.3865070929012255e-06
2026-01-31,2.2756141714487493e-06,2.023068561330202e-06,2.5182964689424127e-06
2026-02-28,2.401787222513446e-06,2.1535545737640634e-06,2.6674672117141153e-06
2026-03-31,2.5414788147636457e-06,2.286569465633991e-06,2.7984796236177757e-06
2026-04-30,2.676664226618678e-06,2.4226192544668304e-06,2.9472173544218237e-06
2026-05-31,2.816355818868878e-06,2.5677592440881894e-06,3.0774058533894343e-06
2026-06-30,2.9515412307239102e-06,2.7080332934665895e-06,3.2031654124064564e-06
2026-07-31,3.0912328229741095e-06,2.8364408394437704e-06,3.34484179363448e-06
2026-08-31,3.23092441522431e-06,2.9730341159944043e-06,3.4915466447992473e-06
2026-09-30,3.3661098270793424e-06,3.1107267299044203e-06,3.622596376107636e-06
2026-10-31,3.505801419329542e-06,3.235676485967606e-06,3.7560476931405963e-06
2026-11-30,3.640986831184574e-06,3.40089273030457e-06,3.893568782314154e-06
2026-12-31,3.780678423434774e-06,3.525770544246698e-06,4.0415575946056155e-06
2027-01-31,3.920370015684974e-06,3.6519016024534792e-06,4.160410937431187e-06
2027-02-28,4.046543066749671e-06,3.7844410121015807e-06,4.290114501704125e-06
2027-03-31,4.186234658999871e-06,3.932958952129569e-06,4.421957794860832e-06
2027-04-30,4.321420070854903e-06,4.060207789841257e-06,4.563060928087169e-06
2027-05-31,4.461111663105102e-06,4.215270607144962e-06,4.705932062487431e-06
2027-06-30,4.596297074960134e-06,4.338738644293872e-06,4.849258667446393e-06
