date,yhat,yhat_lower,yhat_upper
2024-08-01,-5.126361252705e-08,-1.6933243799173052e-07,7.31239736136571e-08
2024-09-01,-3.241062838737553e-08,-1.4987016359426028e-07,8.656027832732634e-08
2024-10-01,-1.4165805215346449e-08,-1.3594958693970762e-07,9.936084929484508e-08
2024-11-01,4.687178776402972e-09,-1.093093834533562e-07,1.326669586038798e-07
2024-12-01,2.293200183777397e-08,-1.0325535569535797e-07,1.3079696905734725e-07
2025-01-01,4.1784985493410005e-08,-8.325797975072287e-08,1.5614709962808432e-07
2025-02-01,6.0637969138285e-08,-5.979679841594187e-08,1.8409990198493407e-07
2025-03-01,7.766647034665493e-08,-3.506260829990867e-08,2.0610515558891174e-07
2025-04-01,9.651945378592154e-08,-2.200081617345912e-08,2.1683622065603933e-07
2025-05-01,1.1476427653380888e-07,4.280645111162504e-09,2.3637023812750435e-07
2025-06-01,1.336172600399592e-07,1.5479559112578413e-08,2.4795421744631637e-07
2025-07-01,1.5186208278784657e-07,3.346863248925464e-08,2.7107057949681255e-07
2025-07-31,1.7010690553573394e-07,4.9620306027827754e-08,2.8981197876886176e-07
2025-08-31,1.8895988904188428e-07,7.252035711258507e-08,2.9841119276113027e-07
2025-09-30,2.0720471178977163e-07,9.422049690702654e-08,3.2700703730900266e-07
2025-10-31,2.2605769529592198e-07,1.0626706154164606e-07,3.480958813867583e-07
2025-11-30,2.4430251804380935e-07,1.2853532811586294e-07,3.566007664049691e-07
2025-12-31,2.6315550154995956e-07,1.363991601595988e-07,3.729413808481366e-07
2026-01-31,2.8200848505610993e-07,1.6525022022433332e-07,4.0430737510911977e-07
2026-02-28,2.990369862874715e-07,1.7992105523245086e-07,4.151020274120464e-07
2026-03-31,3.1788996979362174e-07,2.0316915113701004e-07,4.418362124219896e-07
2026-04-30,3.3613479254150917e-07,2.1930158265493308e-07,4.597473159640796e-07
2026-05-31,3.5498777604765943e-07,2.3626855054569377e-07,4.770040083215633e-07
2026-06-30,3.732325987955468e-07,2.515915128350778e-07,4.926851070197535e-07
2026-07-31,3.9208558230169707e-07,2.698968582605429e-07,5.133151750711831e-07
2026-08-31,4.109385658078475e-07,2.9476901117673183e-07,5.215663493321487e-07
2026-09-30,4.2918338855573487e-07,3.064775682435375e-07,5.405393590465419e-07
2026-10-31,4.480363720618851e-07,3.2534280333072606e-07,5.683597967079486e-07
2026-11-30,4.662811948097725e-07,3.510828660754675e-07,5.798356897170654e-07
2026-12-31,4.851341783159228e-07,3.6240536303589555e-07,6.006113794609151e-07
2027-01-31,5.039871618220731e-07,3.7945466066713595e-07,6.218075978711815e-07
2027-02-28,5.210156630534347e-07,4.0645480764546463e-07,6.383809115049009e-07
2027-03-31,5.39868646559585e-07,4.28676263220839e-07,6.62922860402252e-07
2027-04-30,5.581134693074724e-07,4.343006394545444e-07,6.765726694908556e-07
2027-05-31,5.769664528136226e-07,4.5871585923936075e-07,6.897749383291932e-07
2027-06-30,5.9521127556151e-07,4.7066673678974095e-07,7.035535000676773e-07
