date,yhat,yhat_lower,yhat_upper
2024-08-01,2.1628678278528008e-06,1.7867765157401192e-06,2.5307237657112967e-06
2024-09-01,2.186013960739316e-06,1.805654035770033e-06,2.551889863911475e-06
2024-10-01,2.2084134439221902e-06,1.8115004524281346e-06,2.549802057022207e-06
2024-11-01,2.2315595767989383e-06,1.8712624186617805e-06,2.6263159525365793e-06
2024-12-01,2.253959060275955e-06,1.8904570454301058e-06,2.646036466231309e-06
2025-01-01,2.2771051935526457e-06,1.9204751375021834e-06,2.642923949049403e-06
2025-02-01,2.300251326962464e-06,1.940061250166998e-06,2.6601986248035277e-06
2025-03-01,2.3211575117800395e-06,1.9491338352520335e-06,2.697277735219198e-06
2025-04-01,2.3443036447541565e-06,1.9983111285882353e-06,2.7036879356372487e-06
2025-05-01,2.3667031282860045e-06,2.0012421878458986e-06,2.7434597909427956e-06
2025-06-01,2.3898492612689146e-06,2.0352938565937535e-06,2.757531203105528e-06
2025-07-01,2.4122487448007627e-06,2.0626449222437516e-06,2.7981489719193283e-06
2025-07-31,2.4346482283326108e-06,2.0712850324048384e-06,2.8015149245034354e-06
2025-08-31,2.4577943613155204e-06,2.0905623190966818e-06,2.8148447784565535e-06
2025-09-30,2.4801938448473693e-06,2.099111428195024e-06,2.8639521933912137e-06
2025-10-31,2.503339977830279e-06,2.1265608902006273e-06,2.898344179731717e-06
2025-11-30,2.525739461362127e-06,2.1485480296456592e-06,2.8604340516975318e-06
2025-12-31,2.548885594345037e-06,2.1891584686586874e-06,2.902876594650169e-06
2026-01-31,2.5720317273279467e-06,2.1971951660983388e-06,2.948704351263894e-06
2026-02-28,2.5929379119576717e-06,2.2323754406649275e-06,2.9356032348654445e-06
2026-03-31,2.6160840449405818e-06,2.230718425021617e-06,2.971172592707161e-06
2026-04-30,2.63848352847243e-06,2.2953121088964367e-06,2.9945987711138493e-06
2026-05-31,2.6616296614553395e-06,2.2749967997869493e-06,2.9988846096178366e-06
2026-06-30,2.6840291449871876e-06,2.3086045268656993e-06,3.0750987037602134e-06
2026-07-31,2.7071752779700976e-06,2.3572786334659386e-06,3.0843525590295843e-06
2026-08-31,2.7303214109530077e-06,2.3581132447759556e-06,3.1098464035903444e-06
2026-09-30,2.7527208944848557e-06,2.3851072962998057e-06,3.117383908312424e-06
2026-10-31,2.7758670274677654e-06,2.3952624638196967e-06,3.1420217232422737e-06
2026-11-30,2.7982665109996135e-06,2.455653034768872e-06,3.166878768047481e-06
2026-12-31,2.8214126439825235e-06,2.4331884656802312e-06,3.1881864157728644e-06
2027-01-31,2.844558776965433e-06,2.4546179895473545e-06,3.2082250062980234e-06
2027-02-28,2.865464961595158e-06,2.488542653098198e-06,3.234737130571717e-06
2027-03-31,2.8886110945780686e-06,2.5162925025382006e-06,3.2549566014606853e-06
2027-04-30,2.9110105781099167e-06,2.531872470172183e-06,3.2760680478533227e-06
2027-05-31,2.9341567110928263e-06,2.566926261624539e-06,3.296536882281749e-06
2027-06-30,2.956556194624675e-06,2.613264767001513e-06,3.306991816030267e-06
