date,yhat,yhat_lower,yhat_upper
2024-08-01,4.390228189041697e-06,-1.9986669848629846e-05,2.79637668060628e-05
2024-09-01,4.666525156449794e-06,-1.9774803083949748e-05,2.9311266953014217e-05
2024-10-01,4.933909320813501e-06,-1.8426857724537733e-05,2.810198395763066e-05
2024-11-01,5.210206289685905e-06,-1.903531011602037e-05,3.015715592565385e-05
2024-12-01,5.477590453166199e-06,-1.8039379491684e-05,2.9343781061425877e-05
2025-01-01,5.7538874204624366e-06,-1.9934264457415872e-05,2.9194180344328425e-05
2025-02-01,6.0301843893296994e-06,-1.7419849353961204e-05,2.9069296907634985e-05
2025-03-01,6.279742941144779e-06,-1.8272703121184913e-05,3.0717179783161175e-05
2025-04-01,6.55603991103897e-06,-1.8490907846008016e-05,2.9929736823618562e-05
2025-05-01,6.823424074639419e-06,-1.8133022717221852e-05,2.927623791472141e-05
2025-06-01,7.099721043693217e-06,-1.6305816133276375e-05,3.203530108984029e-05
2025-07-01,7.3671052072936656e-06,-1.8111226427987752e-05,3.296070437728809e-05
2025-07-31,7.634489370894116e-06,-1.766229283189671e-05,3.089020366631437e-05
2025-08-31,7.910786339947912e-06,-1.767677796871515e-05,3.313577682172489e-05
2025-09-30,8.178170503548363e-06,-1.6701066457892762e-05,3.16221297412783e-05
2025-10-31,8.45446747260216e-06,-1.6438088777285173e-05,3.15029885838358e-05
2025-11-30,8.72185163620261e-06,-1.585379418412684e-05,3.1283280287067554e-05
2025-12-31,8.998148605256406e-06,-1.5507661656351456e-05,3.501598076851675e-05
2026-01-31,9.274445574310204e-06,-1.5279158611274035e-05,3.317260264271532e-05
2026-02-28,9.524004127003957e-06,-1.6858774804717486e-05,3.4063051587071836e-05
2026-03-31,9.800301096057756e-06,-1.3974150548311958e-05,3.278529609970723e-05
2026-04-30,1.0067685259658205e-05,-1.4265726384937866e-05,3.291756949212391e-05
2026-05-31,1.0343982228712001e-05,-1.4221643990950496e-05,3.3977778412227894e-05
2026-06-30,1.061136639231245e-05,-1.4191602319159477e-05,3.540510644386697e-05
2026-07-31,1.0887663361366249e-05,-1.2449502906797017e-05,3.710428418928013e-05
2026-08-31,1.1163960330420047e-05,-1.2423830361336239e-05,3.747594235311149e-05
2026-09-30,1.1431344494020496e-05,-1.2617469052817931e-05,3.49986393401175e-05
2026-10-31,1.1707641463074293e-05,-1.3760224611955253e-05,3.462325537869235e-05
2026-11-30,1.1975025626674742e-05,-1.4032738910727209e-05,3.6293148824870416e-05
2026-12-31,1.225132259572854e-05,-1.2253127520162753e-05,3.8803505918283335e-05
2027-01-31,1.2527619564782337e-05,-1.4101826355554611e-05,3.8097065028767376e-05
2027-02-28,1.277717811747609e-05,-1.112636280466465e-05,3.8131405816596484e-05
2027-03-31,1.3053475086529889e-05,-1.237341832372611e-05,3.6989776112769566e-05
2027-04-30,1.3320859250130336e-05,-1.1806214074583359e-05,3.8785879591150406e-05
2027-05-31,1.3597156219184135e-05,-1.3532529622098593e-05,3.62628250100188e-05
2027-06-30,1.3864540382784582e-05,-9.751490957772225e-06,3.82823639465716e-05
