date,yhat,yhat_lower,yhat_upper
2024-08-01,-4.4738619352603503e-07,-1.0412502898140676e-06,1.6216841105452783e-07
2024-09-01,-1.295288477371826e-07,-6.957802303732198e-07,4.4995232846944663e-07
2024-10-01,1.7807503536356717e-07,-3.9120424794422183e-07,7.841865397179066e-07
2024-11-01,4.959323811504978e-07,-4.6753044560982115e-08,1.0790879854458994e-06
2024-12-01,8.035362641429081e-07,2.2977649705041514e-07,1.339214319971979e-06
2025-01-01,1.121393609847646e-06,5.399887135672648e-07,1.7119997697859282e-06
2025-02-01,1.4392509554722827e-06,8.378676107595403e-07,2.000467016922022e-06
2025-03-01,1.7263479129301348e-06,1.173495706718813e-06,2.291284545097375e-06
2025-04-01,2.0442052585283784e-06,1.5017215929710205e-06,2.630406372192243e-06
2025-05-01,2.3518091415332294e-06,1.7631394290569067e-06,2.932040320023304e-06
2025-06-01,2.6696664873049095e-06,2.090575194475342e-06,3.2760172970156185e-06
2025-07-01,2.977270370309761e-06,2.448194936781565e-06,3.552614165977107e-06
2025-07-31,3.284874253314612e-06,2.701766516561555e-06,3.906139429730178e-06
2025-08-31,3.6027315990862925e-06,3.0523812374809646e-06,4.200054167189093e-06
2025-09-30,3.9103354820911435e-06,3.31367154186836e-06,4.4823531984445935e-06
2025-10-31,4.228192827862824e-06,3.61164199330325e-06,4.821678876486044e-06
2025-11-30,4.535796710867675e-06,3.923610820014695e-06,5.128611609524943e-06
2025-12-31,4.853654056639355e-06,4.257040630062977e-06,5.441595533823474e-06
2026-01-31,5.1715114024110355e-06,4.5475692189201414e-06,5.772710402995384e-06
2026-02-28,5.45860835988223e-06,4.87368657674148e-06,6.056669628998973e-06
2026-03-31,5.7764657056539095e-06,5.17480486586327e-06,6.358819030905927e-06
2026-04-30,6.084069588658761e-06,5.496283836152871e-06,6.694151442414199e-06
2026-05-31,6.401926934430441e-06,5.8151912458603595e-06,7.005422897305423e-06
2026-06-30,6.709530817435292e-06,6.113657910867077e-06,7.323560599149762e-06
2026-07-31,7.027388163206971e-06,6.425654696943086e-06,7.612080620686138e-06
2026-08-31,7.345245508978653e-06,6.806721011030614e-06,7.978341675676114e-06
2026-09-30,7.652849391983503e-06,7.100707975635004e-06,8.2376503689752e-06
2026-10-31,7.970706737755183e-06,7.398933916175664e-06,8.587270816294944e-06
2026-11-30,8.278310620760034e-06,7.704484027347506e-06,8.860454107157532e-06
2026-12-31,8.596167966531714e-06,8.033400673134952e-06,9.15781011598766e-06
2027-01-31,8.914025312303395e-06,8.338103441234149e-06,9.536990789711005e-06
2027-02-28,9.20112226977459e-06,8.62195973344914e-06,9.797296905714278e-06
2027-03-31,9.51897961554627e-06,8.917068477805985e-06,1.0081706260564675e-05
2027-04-30,9.826583498551121e-06,9.200537462730934e-06,1.039402238827985e-05
2027-05-31,1.01444408443228e-05,9.597406639953374e-06,1.0733780209460634e-05
2027-06-30,1.045204472732765e-05,9.854826782622807e-06,1.1050993703419679e-05
