date,yhat,yhat_lower,yhat_upper
2024-08-01,7.320184457670449e-05,7.024586130456e-05,7.605195274063e-05
2024-09-01,7.264898120475927e-05,6.97998088286025e-05,7.561866566556529e-05
2024-10-01,7.21139521443839e-05,6.938365424279656e-05,7.49619934292091e-05
2024-11-01,7.1561088785867e-05,6.874299051469689e-05,7.460706862891865e-05
2024-12-01,7.102605972286284e-05,6.830634167064137e-05,7.402776855107605e-05
2025-01-01,7.047319474678292e-05,6.768131656859514e-05,7.349645353762063e-05
2025-02-01,6.992032972814342e-05,6.70139350137034e-05,7.254306112630337e-05
2025-03-01,6.942096776409997e-05,6.659229009709807e-05,7.247718895449835e-05
2025-04-01,6.886810271168455e-05,6.614701481433109e-05,7.171435271613215e-05
2025-05-01,6.833307200565473e-05,6.545548163545254e-05,7.11092776823638e-05
2025-06-01,6.778020694275725e-05,6.477662482709887e-05,7.071306815519588e-05
2025-07-01,6.724517623672744e-05,6.435289975417406e-05,7.003761907157544e-05
2025-07-31,6.671014553069762e-05,6.391506665600985e-05,6.958845975683362e-05
2025-08-31,6.615728046780013e-05,6.317923096765612e-05,6.88504259945569e-05
2025-09-30,6.562224976177031e-05,6.289286317769763e-05,6.848882329540006e-05
2025-10-31,6.506938469887284e-05,6.206435497271631e-05,6.766084328280982e-05
2025-11-30,6.453435399284302e-05,6.168345290628275e-05,6.721576514418362e-05
2025-12-31,6.398148892994554e-05,6.108482765920345e-05,6.678367792967042e-05
2026-01-31,6.342862386704806e-05,6.071746812236643e-05,6.634037354646543e-05
2026-02-28,6.292926187475356e-05,6.000596522340497e-05,6.586998744005342e-05
2026-03-31,6.237639681185608e-05,5.946604924478815e-05,6.531909742583055e-05
2026-04-30,6.184136610582627e-05,5.889530346915592e-05,6.483981373984595e-05
2026-05-31,6.128850104292879e-05,5.836790867096402e-05,6.418855608134281e-05
2026-06-30,6.075347033689897e-05,5.776523794322354e-05,6.374822232490214e-05
2026-07-31,6.020060527400149e-05,5.730449479074076e-05,6.29845046656677e-05
2026-08-31,5.9647740211104006e-05,5.667504760892452e-05,6.236691572488201e-05
2026-09-30,5.911270950507419e-05,5.6309891891053395e-05,6.215930308117523e-05
2026-10-31,5.855984444217671e-05,5.579756151446164e-05,6.147588118354157e-05
2026-11-30,5.80248137361469e-05,5.5285220812300746e-05,6.100601450053356e-05
2026-12-31,5.747194867324942e-05,5.4499476812832484e-05,6.0411892351771145e-05
2027-01-31,5.6919083610351934e-05,5.407281547393019e-05,5.967072434315178e-05
2027-02-28,5.641972161805744e-05,5.365350275519119e-05,5.914535606990707e-05
2027-03-31,5.586685655515996e-05,5.2913838656289346e-05,5.866086584849697e-05
2027-04-30,5.533182584913014e-05,5.255914928157304e-05,5.83125321931694e-05
2027-05-31,5.477896078623266e-05,5.188108942377095e-05,5.776673753083613e-05
2027-06-30,5.424393008020285e-05,5.1306901147234104e-05,5.695333390291173e-05
