date,yhat,yhat_lower,yhat_upper
2024-08-01,1.894720635e-07,-1.5723365406784065e-07,5.529778745936077e-07
2024-09-01,1.70713589175e-07,-1.802889796078951e-07,5.228869207123127e-07
2024-10-01,1.5256022695605134e-07,-1.826669599870626e-07,5.142518878865575e-07
2024-11-01,1.3380175266785061e-07,-2.1910175808760824e-07,4.967127831567594e-07
2024-12-01,1.1564839044317921e-07,-2.6009917036112494e-07,5.007182213327122e-07
2025-01-01,9.688991615928479e-08,-2.5321492250851145e-07,4.716127040561309e-07
2025-02-01,7.813144186229104e-08,-2.79081697820467e-07,4.480309704182175e-07
2025-03-01,6.118830377914752e-08,-2.827923832686856e-07,4.137589910495794e-07
2025-04-01,4.242982946124853e-08,-3.216040285847419e-07,4.0015276293954695e-07
2025-05-01,2.4276467184449916e-08,-3.390716476053295e-07,3.6698844144377077e-07
2025-06-01,5.5179928317580035e-09,-3.751906360567685e-07,3.8043808338811004e-07
2025-07-01,-1.2635369445040605e-08,-3.5602345714830327e-07,3.527302801484505e-07
2025-07-31,-3.078873172183922e-08,-3.8596009193018666e-07,3.547774986955938e-07
2025-08-31,-4.954720607453113e-08,-3.863030207130488e-07,3.2199131611505603e-07
2025-09-30,-6.770056835132974e-08,-4.4099746512691053e-07,3.103967543060257e-07
2025-10-31,-8.645904270402168e-08,-4.1310502870882834e-07,2.7529723998880437e-07
2025-11-30,-1.0461240498082023e-07,-4.565508397210205e-07,2.529795031282479e-07
2025-12-31,-1.2337087933351214e-07,-4.7636783693321506e-07,2.3536291411758164e-07
2026-01-31,-1.4212935368620405e-07,-5.002032032154169e-07,2.2888625860070612e-07
2026-02-28,-1.5907249181121612e-07,-5.008443595980162e-07,1.8625347116352657e-07
2026-03-31,-1.7783096616390798e-07,-5.536261521381772e-07,1.6122607816020425e-07
2026-04-30,-1.9598432844070665e-07,-5.712114192043689e-07,1.6655015679810954e-07
2026-05-31,-2.147428027933985e-07,-5.98657136513569e-07,1.3296804448651577e-07
2026-06-30,-2.328961650701971e-07,-5.900596157253479e-07,1.200006439373264e-07
2026-07-31,-2.51654639422889e-07,-6.18374276347125e-07,1.1900764929160993e-07
2026-08-31,-2.7041311377558097e-07,-5.995738501126143e-07,1.2514984316077526e-07
2026-09-30,-2.885664760523796e-07,-6.431851438931324e-07,6.786046135990227e-08
2026-10-31,-3.0732495040507136e-07,-6.714688482907954e-07,5.5506317382035066e-08
2026-11-30,-3.2547831268187e-07,-6.784962148951493e-07,5.002292931964205e-08
2026-12-31,-3.4423678703456186e-07,-6.948132407504833e-07,6.016089817269878e-09
2027-01-31,-3.629952613872538e-07,-6.859958108764279e-07,1.1031110098850044e-09
2027-02-28,-3.799383995122659e-07,-7.225677996103042e-07,-1.4215895067364293e-08
2027-03-31,-3.9869687386495773e-07,-7.80648217089358e-07,-5.504450846006951e-08
2027-04-30,-4.1685023614175635e-07,-7.638827815605329e-07,-4.988887711572983e-08
2027-05-31,-4.3560871049444823e-07,-7.794353359357799e-07,-8.024907603172438e-08
2027-06-30,-4.5376207277124685e-07,-8.255288445443994e-07,-8.461683805926188e-08
